season,captureDate,source,sheetId,url,file
2021,20210717,live,1FwQApW4g71ceW_hu9ZgtDGFWo52SKBcF6NUVx5XCzT4,docs.google.com/spreadsheets/d/1FwQApW4g71ceW_hu9ZgtDGFWo52SKBcF6NUVx5XCzT4,2021-20210717-live.xlsx
2022,20220716,live,1Qv4XyKEEOa-i4AyJ-llpY6i3xwoLhbOa-UK4eJkIPRo,docs.google.com/spreadsheets/d/1Qv4XyKEEOa-i4AyJ-llpY6i3xwoLhbOa-UK4eJkIPRo,2022-20220716-live.xlsx
2025,20250821,live,1HTixsrRtIIpnUafVkOIhET83vCFjKXSUGiG24-5jTHY,docs.google.com/spreadsheets/d/1HTixsrRtIIpnUafVkOIhET83vCFjKXSUGiG24-5jTHY,2025-20250821-live.xlsx
2026,20260826,live,1HTixsrRtIIpnUafVkOIhET83vCFjKXSUGiG24-5jTHY,docs.google.com/spreadsheets/d/1HTixsrRtIIpnUafVkOIhET83vCFjKXSUGiG24-5jTHY,2026-20260826-live.xlsx
2020,20210113,live,14EVoynlhtsHbEuEVrlcr3hY9ytdVDjIgrjTfSsfhhJ4,docs.google.com/spreadsheets/d/14EVoynlhtsHbEuEVrlcr3hY9ytdVDjIgrjTfSsfhhJ4,2020-20210113-live.xlsx
2020,20210113,live,1m00-ydlPgcjkuEyfjPdY-xgIOM5VU7d_mfmPuY0pO2U,docs.google.com/spreadsheets/d/1m00-ydlPgcjkuEyfjPdY-xgIOM5VU7d_mfmPuY0pO2U,2020-20210113-live.xlsx
2023,20230819,live,1LbQtd_izJiJo5erMkSbhpnxjiR-KpYzw1HBFQUsys5w,docs.google.com/spreadsheets/d/1LbQtd_izJiJo5erMkSbhpnxjiR-KpYzw1HBFQUsys5w,2023-20230819-live.xlsx
