name,position,Yahoo,Sleeper,RTSports,AVG
Kenny Pickett,QB,130,189,135,151.3
Romeo Doubs,WR,184,152,119,151.7
Tyler Higbee,TE,161,151,145,152.3
Devin Singletary,RB,153,160,150,154.3
Jameson Williams,WR,177,131,157,155.0
Deuce Vaughn,RB,141,162,164,155.7
Greg Dulcich,TE,129,170,169,156.0
Brock Purdy,QB,156,163,158,159.0
Bryce Young,QB,135,174,170,159.7
Younghoe Koo,K,117,143,225,161.7
D'Onta Foreman,RB,188,159,143,163.3
Jalin Hyatt,WR,170,166,154,163.3
Roschon Johnson,RB,192,172,136,166.7
Nico Collins,WR,194,169,141,168.0
Sam LaPorta,TE,206,157,144,169.0
Russell Wilson,QB,200,168,140,169.3
Miami Dolphins,DST,119,149,241,169.7
Rashee Rice,WR,185,150,177,170.7
Tyler Boyd,WR,190,148,176,171.3
Jakobi Meyers,WR,210,154,151,171.7
Kendre Miller,RB,189,156,174,173.0
Jordan Love,QB,171,188,163,174.0
Jeff Wilson Jr.,RB,195,176,153,174.7
Derek Carr,QB,196,194,139,176.3
Jimmy Garoppolo,QB,124,235,172,177.0
C.J. Stroud,QB,134,218,181,177.7
Zay Jones,WR,191,175,168,178.0
Kareem Hunt,RB,207,173,155,178.3
Chuba Hubbard,RB,172,200,165,179.0
Cameron Dicker,K,143,184,211,179.3
Juwan Johnson,TE,212,198,133,181.0
Darnell Mooney,WR,211,158,175,181.3
Denver Broncos,DST,120,182,245,182.3
Marvin Mims Jr.,WR,197,185,167,183.0
Luke Musgrave,TE,180,186,183,183.0
Clyde Edwards-Helaire,RB,137,204,210,183.7
Jake Elliott,K,176,141,234,183.7
Michael Gallup,WR,150,191,224,188.3
Cordarrelle Patterson,RB,148,220,198,188.7
Matthew Stafford,QB,201,216,156,191.0
Taysom Hill,TE,146,197,233,192.0
Jason Myers,K,208,167,201,192.0
Gerald Everett,TE,217,178,186,193.7
New Orleans Saints,DST,224,142,218,194.7
Mac Jones,QB,121,,179,150.0
Gus Edwards,RB,193,205,188,195.3
Zamir White,RB,202,195,191,196.0
Dawson Knox,TE,136,211,242,196.3
Irv Smith Jr.,TE,186,223,185,198.0
Pittsburgh Steelers,DST,215,161,220,198.7
Kyler Murray,QB,221,192,187,200.0
DJ Chark Jr.,WR,182,201,223,202.0
Sam Howell,QB,216,231,160,202.3
Tyjae Spears,RB,,177,147,162.0
Rondale Moore,WR,,179,152,165.5
Brandon McManus,K,232,164,227,207.7
Jason Sanders,K,219,155,255,209.7
Zach Ertz,TE,154,234,243,210.3
Tyler Conklin,TE,142,242,249,211.0
Hayden Hurst,TE,159,245,229,211.0
Jake Ferguson,TE,223,210,202,211.7
Jake Moody,K,144,229,264,212.3
Donovan Peoples-Jones,WR,,217,137,177.0
Jacksonville Jaguars,DST,229,207,203,213.0
Washington Commanders,DST,236,180,228,214.7
Kansas City Chiefs,DST,220,206,221,215.7
Jonathan Mingo,WR,,171,193,182.0
Mike Gesicki,TE,204,244,204,217.3
Michael Mayer,TE,205,196,252,217.7
Hunter Henry,TE,203,233,222,219.3
K.J. Osborn,WR,,215,161,188.0
Leonard Fournette,RB,198,224,240,220.7
Graham Gano,K,226,181,265,224.0
Deon Jackson,RB,,226,162,194.0
Seattle Seahawks,DST,218,193,263,224.7
Cincinnati Bengals,DST,225,209,244,226.0
Alec Pierce,WR,,203,200,201.5
Green Bay Packers,DST,233,183,272,229.3
Tank Dell,WR,,190,215,202.5
Ty Chandler,RB,,212,195,203.5
Joshua Kelley,RB,,230,182,206.0
Justyn Ross,WR,,187,226,206.5
Matt Gay,K,222,208,271,233.7
Minnesota Vikings,DST,179,,238,208.5
Van Jefferson,WR,,199,219,209.0
Zack Moss,RB,,228,194,211.0
Marquez Valdes-Scantling,WR,,214,208,211.0
Jayden Reed,WR,,213,212,212.5
Evan Hull,RB,,227,207,217.0
Parris Campbell,WR,,243,192,217.5
Nick Folk,K,152,,,152.0
Jerome Ford,RB,,221,217,219.0
Isaiah Hodgins,WR,,232,209,220.5
Brett Maher,K,160,,,160.0
Chicago Bears,DST,163,,,163.0
