name,position,team,AVG,source,format,drafts,season
Christian McCaffrey,RB,SF,1.4,fantasyfootballcalculator,ppr,1371,2024
Breece Hall,RB,NYJ,2.2,fantasyfootballcalculator,ppr,1371,2024
Tyreek Hill,WR,MIA,2.6,fantasyfootballcalculator,ppr,1371,2024
CeeDee Lamb,WR,DAL,3.7,fantasyfootballcalculator,ppr,1371,2024
Bijan Robinson,RB,ATL,4.9,fantasyfootballcalculator,ppr,1371,2024
Amon-Ra St. Brown,WR,DET,6.2,fantasyfootballcalculator,ppr,1371,2024
Ja'Marr Chase,WR,CIN,7.2,fantasyfootballcalculator,ppr,1371,2024
Justin Jefferson,WR,MIN,8.0,fantasyfootballcalculator,ppr,1371,2024
Jahmyr Gibbs,RB,DET,9.4,fantasyfootballcalculator,ppr,1371,2024
Jonathan Taylor,RB,IND,9.8,fantasyfootballcalculator,ppr,1371,2024
A.J. Brown,WR,PHI,10.9,fantasyfootballcalculator,ppr,1371,2024
Saquon Barkley,RB,PHI,11.3,fantasyfootballcalculator,ppr,1371,2024
Garrett Wilson,WR,NYJ,12.1,fantasyfootballcalculator,ppr,1371,2024
Marvin Harrison Jr.,WR,ARI,14.5,fantasyfootballcalculator,ppr,1371,2024
Puka Nacua,WR,LAR,15.2,fantasyfootballcalculator,ppr,1371,2024
Kyren Williams,RB,LAR,15.9,fantasyfootballcalculator,ppr,1371,2024
Derrick Henry,RB,BAL,15.9,fantasyfootballcalculator,ppr,1371,2024
Travis Etienne Jr.,RB,JAX,17.6,fantasyfootballcalculator,ppr,1371,2024
Cooper Kupp,WR,LAR,18.9,fantasyfootballcalculator,ppr,1371,2024
Isiah Pacheco,RB,KC,19.8,fantasyfootballcalculator,ppr,1371,2024
Davante Adams,WR,NYJ,20.0,fantasyfootballcalculator,ppr,1371,2024
De'Von Achane,RB,MIA,21.4,fantasyfootballcalculator,ppr,1371,2024
Drake London,WR,ATL,21.5,fantasyfootballcalculator,ppr,1371,2024
Deebo Samuel Sr.,WR,SF,23.0,fantasyfootballcalculator,ppr,1371,2024
Josh Jacobs,RB,GB,23.6,fantasyfootballcalculator,ppr,1371,2024
Travis Kelce,TE,KC,24.4,fantasyfootballcalculator,ppr,1371,2024
Josh Allen,QB,BUF,25.1,fantasyfootballcalculator,ppr,1371,2024
Chris Olave,WR,NO,26.2,fantasyfootballcalculator,ppr,1371,2024
Rachaad White,RB,TB,29.0,fantasyfootballcalculator,ppr,1371,2024
Jaylen Waddle,WR,MIA,29.1,fantasyfootballcalculator,ppr,1371,2024
Sam LaPorta,TE,DET,29.4,fantasyfootballcalculator,ppr,1371,2024
James Cook III,RB,BUF,30.3,fantasyfootballcalculator,ppr,1371,2024
Patrick Mahomes,QB,KC,30.8,fantasyfootballcalculator,ppr,1371,2024
Nico Collins,WR,HOU,32.1,fantasyfootballcalculator,ppr,1371,2024
Alvin Kamara,RB,NO,32.3,fantasyfootballcalculator,ppr,1371,2024
Mike Evans,WR,TB,33.5,fantasyfootballcalculator,ppr,1371,2024
Joe Mixon,RB,HOU,35.0,fantasyfootballcalculator,ppr,1371,2024
Kenneth Walker,RB,SEA,35.6,fantasyfootballcalculator,ppr,1371,2024
Jalen Hurts,QB,PHI,37.3,fantasyfootballcalculator,ppr,1371,2024
DeVonta Smith,WR,PHI,38.3,fantasyfootballcalculator,ppr,1371,2024
Malik Nabers,WR,NYG,38.3,fantasyfootballcalculator,ppr,1371,2024
DK Metcalf,WR,SEA,40.7,fantasyfootballcalculator,ppr,1371,2024
Mark Andrews,TE,BAL,41.2,fantasyfootballcalculator,ppr,1371,2024
Stefon Diggs,WR,HOU,41.8,fantasyfootballcalculator,ppr,1371,2024
DJ Moore,WR,CHI,43.7,fantasyfootballcalculator,ppr,1371,2024
