name,position,team,AVG,source,format,drafts,season
Saquon Barkley,RB,NYG,1.4,fantasyfootballcalculator,ppr,2167,2019
Alvin Kamara,RB,NO,2.5,fantasyfootballcalculator,ppr,2167,2019
Christian McCaffrey,RB,CAR,3.2,fantasyfootballcalculator,ppr,2167,2019
Ezekiel Elliott,RB,DAL,3.9,fantasyfootballcalculator,ppr,2167,2019
Davante Adams,WR,GB,6.4,fantasyfootballcalculator,ppr,2167,2019
DeAndre Hopkins,WR,HOU,7.0,fantasyfootballcalculator,ppr,2167,2019
James Conner,RB,PIT,7.1,fantasyfootballcalculator,ppr,2167,2019
David Johnson,RB,ARI,7.1,fantasyfootballcalculator,ppr,2167,2019
LeVeon Bell,RB,NYJ,8.8,fantasyfootballcalculator,ppr,2167,2019
Julio Jones,WR,ATL,10.2,fantasyfootballcalculator,ppr,2167,2019
Michael Thomas,WR,NO,10.4,fantasyfootballcalculator,ppr,2167,2019
Nick Chubb,RB,CLE,11.7,fantasyfootballcalculator,ppr,2167,2019
JuJu Smith-Schuster,WR,PIT,12.9,fantasyfootballcalculator,ppr,2167,2019
Tyreek Hill,WR,KC,13.9,fantasyfootballcalculator,ppr,2167,2019
Dalvin Cook,RB,MIN,14.6,fantasyfootballcalculator,ppr,2167,2019
Odell Beckham Jr.,WR,CLE,15.1,fantasyfootballcalculator,ppr,2167,2019
Todd Gurley,RB,LAR,16.0,fantasyfootballcalculator,ppr,2167,2019
Travis Kelce,TE,KC,17.1,fantasyfootballcalculator,ppr,2167,2019
Joe Mixon,RB,CIN,18.4,fantasyfootballcalculator,ppr,2167,2019
Patrick Mahomes,QB,KC,19.3,fantasyfootballcalculator,ppr,2167,2019
Mike Evans,WR,TB,20.2,fantasyfootballcalculator,ppr,2167,2019
Antonio Brown,WR,NE,21.4,fantasyfootballcalculator,ppr,2167,2019
Adam Thielen,WR,MIN,22.9,fantasyfootballcalculator,ppr,2167,2019
Leonard Fournette,RB,JAX,23.2,fantasyfootballcalculator,ppr,2167,2019
Keenan Allen,WR,LAC,25.0,fantasyfootballcalculator,ppr,2167,2019
Damien Williams,RB,KC,25.5,fantasyfootballcalculator,ppr,2167,2019
Chris Carson,RB,SEA,26.5,fantasyfootballcalculator,ppr,2167,2019
George Kittle,TE,SF,28.3,fantasyfootballcalculator,ppr,2167,2019
Kerryon Johnson,RB,DET,28.5,fantasyfootballcalculator,ppr,2167,2019
Aaron Jones Sr.,RB,GB,29.2,fantasyfootballcalculator,ppr,2167,2019
Devonta Freeman,RB,ATL,30.4,fantasyfootballcalculator,ppr,2167,2019
Stefon Diggs,WR,MIN,30.8,fantasyfootballcalculator,ppr,2167,2019
David Montgomery,RB,CHI,31.3,fantasyfootballcalculator,ppr,2167,2019
Josh Jacobs,RB,LV,33.1,fantasyfootballcalculator,ppr,2167,2019
Amari Cooper,WR,DAL,33.1,fantasyfootballcalculator,ppr,2167,2019
Zach Ertz,TE,PHI,33.5,fantasyfootballcalculator,ppr,2167,2019
Julian Edelman,WR,NE,36.1,fantasyfootballcalculator,ppr,2167,2019
Sony Michel,RB,NE,37.4,fantasyfootballcalculator,ppr,2167,2019
Brandin Cooks,WR,LAR,39.1,fantasyfootballcalculator,ppr,2167,2019
Mark Ingram II,RB,BAL,39.7,fantasyfootballcalculator,ppr,2167,2019
Chris Godwin Jr.,WR,TB,39.9,fantasyfootballcalculator,ppr,2167,2019
Melvin Gordon III,RB,LAC,42.0,fantasyfootballcalculator,ppr,2167,2019
Robert Woods,WR,LAR,42.2,fantasyfootballcalculator,ppr,2167,2019
Tyler Lockett,WR,SEA,42.9,fantasyfootballcalculator,ppr,2167,2019
Derrick Henry,RB,TEN,43.8,fantasyfootballcalculator,ppr,2167,2019
Cooper Kupp,WR,LAR,45.2,fantasyfootballcalculator,ppr,2167,2019
Marlon Mack,RB,IND,46.5,fantasyfootballcalculator,ppr,2167,2019
Kenny Golladay,WR,DET,47.1,fantasyfootballcalculator,ppr,2167,2019
Deshaun Watson,QB,HOU,47.1,fantasyfootballcalculator,ppr,2167,2019
James White,RB,NE,48.1,fantasyfootballcalculator,ppr,2167,2019
T.Y. Hilton,WR,IND,49.0,fantasyfootballcalculator,ppr,2167,2019
Tyler Boyd,WR,CIN,51.5,fantasyfootballcalculator,ppr,2167,2019
Duke Johnson,RB,HOU,51.7,fantasyfootballcalculator,ppr,2167,2019
Josh Gordon,WR,SEA,52.1,fantasyfootballcalculator,ppr,2167,2019
Calvin Ridley,WR,ATL,53.5,fantasyfootballcalculator,ppr,2167,2019
O.J. Howard,TE,TB,54.1,fantasyfootballcalculator,ppr,2167,2019
Phillip Lindsay,RB,DEN,55.6,fantasyfootballcalculator,ppr,2167,2019
Aaron Rodgers,QB,GB,55.7,fantasyfootballcalculator,ppr,2167,2019
Evan Engram,TE,NYG,57.3,fantasyfootballcalculator,ppr,2167,2019
Tevin Coleman,RB,SF,57.7,fantasyfootballcalculator,ppr,2167,2019
Miles Sanders,RB,PHI,59.0,fantasyfootballcalculator,ppr,2167,2019
Mike Williams,WR,LAC,60.3,fantasyfootballcalculator,ppr,2167,2019
Austin Ekeler,RB,LAC,61.7,fantasyfootballcalculator,ppr,2167,2019
Dede Westbrook,WR,JAX,62.7,fantasyfootballcalculator,ppr,2167,2019
Baker Mayfield,QB,CLE,63.2,fantasyfootballcalculator,ppr,2167,2019
Hunter Henry,TE,LAC,63.3,fantasyfootballcalculator,ppr,2167,2019
A.J. Green,WR,CIN,63.8,fantasyfootballcalculator,ppr,2167,2019
Jarvis Landry,WR,CLE,64.8,fantasyfootballcalculator,ppr,2167,2019
DJ Moore,WR,CAR,67.2,fantasyfootballcalculator,ppr,2167,2019
Matt Ryan,QB,ATL,69.2,fantasyfootballcalculator,ppr,2167,2019
Derrius Guice,RB,WAS,69.8,fantasyfootballcalculator,ppr,2167,2019
Jared Cook,TE,NO,70.6,fantasyfootballcalculator,ppr,2167,2019
Tarik Cohen,RB,CHI,71.0,fantasyfootballcalculator,ppr,2167,2019
Alshon Jeffery,WR,PHI,71.9,fantasyfootballcalculator,ppr,2167,2019
Drew Brees,QB,NO,73.9,fantasyfootballcalculator,ppr,2167,2019
Carson Wentz,QB,PHI,74.6,fantasyfootballcalculator,ppr,2167,2019
Vance McDonald,TE,PIT,75.1,fantasyfootballcalculator,ppr,2167,2019
Robbie Chosen,WR,NYJ,75.9,fantasyfootballcalculator,ppr,2167,2019
Latavius Murray,RB,NO,76.4,fantasyfootballcalculator,ppr,2167,2019
Allen Robinson II,WR,CHI,76.6,fantasyfootballcalculator,ppr,2167,2019
Emmanuel Sanders,WR,SF,80.6,fantasyfootballcalculator,ppr,2167,2019
Jared Goff,QB,LAR,81.5,fantasyfootballcalculator,ppr,2167,2019
Will Fuller,WR,HOU,81.6,fantasyfootballcalculator,ppr,2167,2019
Kenyan Drake,RB,ARI,82.9,fantasyfootballcalculator,ppr,2167,2019
Tony Pollard,RB,DAL,83.3,fantasyfootballcalculator,ppr,2167,2019
David Njoku,TE,CLE,83.5,fantasyfootballcalculator,ppr,2167,2019
Devin Singletary,RB,BUF,83.9,fantasyfootballcalculator,ppr,2167,2019
Matt Breida,RB,SF,84.8,fantasyfootballcalculator,ppr,2167,2019
