date,source,sleeper_id,league_points
2026-08-25,sleeper,9493,259.0
2026-08-25,sleeper,13281,90.5
2026-08-25,sleeper,13286,160.5
2026-08-25,sleeper,13287,188.3
2026-08-25,sleeper,13285,75.0
2026-08-25,sleeper,8172,87.4
2026-08-25,sleeper,13288,57.7
2026-08-25,sleeper,13293,87.4
2026-08-25,sleeper,13294,138.5
2026-08-25,sleeper,13298,127.4
2026-08-25,sleeper,13296,77.8
2026-08-25,sleeper,8180,107.6
2026-08-25,sleeper,8183,363.2
2026-08-25,sleeper,13269,250.2
2026-08-25,sleeper,13276,104.6
2026-08-25,sleeper,13274,80.9
2026-08-25,sleeper,5927,176.8
2026-08-25,sleeper,13279,144.8
2026-08-25,sleeper,11625,80.8
2026-08-25,sleeper,11624,134.0
2026-08-25,sleeper,11628,155.2
2026-08-25,sleeper,11620,173.9
2026-08-25,sleeper,11635,187.7
2026-08-25,sleeper,11637,71.3
2026-08-25,sleeper,11632,186.3
2026-08-25,sleeper,11631,164.4
2026-08-25,sleeper,5947,137.3
2026-08-25,sleeper,11603,113.4
2026-08-25,sleeper,11604,202.5
2026-08-25,sleeper,11618,105.4
2026-08-25,sleeper,11610,107.3
2026-08-25,sleeper,5967,146.1
2026-08-25,sleeper,3321,77.2
2026-08-25,sleeper,5995,55.7
2026-08-25,sleeper,13405,41.9
2026-08-25,sleeper,13417,105.4
2026-08-25,sleeper,13413,77.5
2026-08-25,sleeper,13414,39.3
2026-08-25,sleeper,PHI,98.0
2026-08-25,sleeper,PIT,88.0
2026-08-25,sleeper,11647,53.0
2026-08-25,sleeper,11646,135.9
2026-08-25,sleeper,11643,41.1
2026-08-25,sleeper,11655,100.8
2026-08-25,sleeper,9502,43.4
2026-08-25,sleeper,9500,137.3
2026-08-25,sleeper,9511,87.9
2026-08-25,sleeper,9506,48.5
2026-08-25,sleeper,9504,104.7
2026-08-25,sleeper,9508,97.1
2026-08-25,sleeper,9509,292.9
2026-08-25,sleeper,13345,58.9
2026-08-25,sleeper,13346,108.2
2026-08-25,sleeper,13349,65.9
2026-08-25,sleeper,13347,22.8
2026-08-25,sleeper,8205,48.6
2026-08-25,sleeper,8210,113.6
2026-08-25,sleeper,13320,63.5
2026-08-25,sleeper,13330,80.2
2026-08-25,sleeper,13337,59.2
2026-08-25,sleeper,13301,61.2
2026-08-25,sleeper,8228,152.6
2026-08-25,sleeper,13305,89.5
2026-08-25,sleeper,13311,54.7
2026-08-25,sleeper,13317,79.9
2026-08-25,sleeper,HOU,104.0
2026-08-25,sleeper,2133,161.0
2026-08-25,sleeper,11783,97.7
2026-08-25,sleeper,7002,112.9
2026-08-25,sleeper,7021,142.1
2026-08-25,sleeper,7049,86.2
2026-08-25,sleeper,4866,228.2
2026-08-25,sleeper,4881,380.0
2026-08-25,sleeper,2216,187.2
2026-08-25,sleeper,4892,326.9
2026-08-25,sleeper,4033,46.5
2026-08-25,sleeper,4034,256.0
2026-08-25,sleeper,4035,53.0
2026-08-25,sleeper,4046,344.7
2026-08-25,sleeper,4037,139.6
2026-08-25,sleeper,4039,70.4
2026-08-25,sleeper,JAX,91.0
2026-08-25,sleeper,8408,143.7
2026-08-25,sleeper,9756,141.7
2026-08-25,sleeper,9753,61.7
2026-08-25,sleeper,9754,134.9
2026-08-25,sleeper,9758,291.8
2026-08-25,sleeper,4943,314.7
2026-08-25,sleeper,BAL,95.0
2026-08-25,borischen,SEA,103.0
2026-08-25,borischen,4983,174.9
2026-08-25,borischen,4984,391.4
2026-08-25,borischen,11960,0.0
2026-08-25,borischen,6770,367.1
2026-08-25,borischen,6783,98.1
2026-08-25,borischen,6786,236.8
