name,position,team,AVG,source,format,drafts,season
David Johnson,RB,ARI,1.3,fantasyfootballcalculator,ppr,685,2017
LeVeon Bell,RB,PIT,2.3,fantasyfootballcalculator,ppr,685,2017
Antonio Brown,WR,PIT,3.7,fantasyfootballcalculator,ppr,685,2017
Julio Jones,WR,ATL,5.7,fantasyfootballcalculator,ppr,685,2017
Ezekiel Elliott,RB,DAL,6.2,fantasyfootballcalculator,ppr,685,2017
Odell Beckham Jr.,WR,NYG,6.4,fantasyfootballcalculator,ppr,685,2017
Devonta Freeman,RB,ATL,7.0,fantasyfootballcalculator,ppr,685,2017
LeSean McCoy,RB,BUF,7.8,fantasyfootballcalculator,ppr,685,2017
Mike Evans,WR,TB,7.9,fantasyfootballcalculator,ppr,685,2017
A.J. Green,WR,CIN,10.0,fantasyfootballcalculator,ppr,685,2017
Melvin Gordon III,RB,LAC,10.1,fantasyfootballcalculator,ppr,685,2017
Jordy Nelson,WR,GB,11.4,fantasyfootballcalculator,ppr,685,2017
Michael Thomas,WR,NO,13.3,fantasyfootballcalculator,ppr,685,2017
Jay Ajayi,RB,PHI,13.8,fantasyfootballcalculator,ppr,685,2017
DeMarco Murray,RB,TEN,15.2,fantasyfootballcalculator,ppr,685,2017
Jordan Howard,RB,CHI,16.8,fantasyfootballcalculator,ppr,685,2017
Brandin Cooks,WR,NE,17.1,fantasyfootballcalculator,ppr,685,2017
Rob Gronkowski,TE,NE,18.1,fantasyfootballcalculator,ppr,685,2017
Kareem Hunt,RB,KC,18.7,fantasyfootballcalculator,ppr,685,2017
Todd Gurley,RB,LAR,19.4,fantasyfootballcalculator,ppr,685,2017
Dez Bryant,WR,DAL,20.5,fantasyfootballcalculator,ppr,685,2017
Amari Cooper,WR,LV,21.3,fantasyfootballcalculator,ppr,685,2017
Doug Baldwin,WR,SEA,22.4,fantasyfootballcalculator,ppr,685,2017
Christian McCaffrey,RB,CAR,22.9,fantasyfootballcalculator,ppr,685,2017
Aaron Rodgers,QB,GB,23.4,fantasyfootballcalculator,ppr,685,2017
Keenan Allen,WR,LAC,25.8,fantasyfootballcalculator,ppr,685,2017
Leonard Fournette,RB,JAX,27.0,fantasyfootballcalculator,ppr,685,2017
Dalvin Cook,RB,MIN,27.5,fantasyfootballcalculator,ppr,685,2017
T.Y. Hilton,WR,IND,28.8,fantasyfootballcalculator,ppr,685,2017
Tom Brady,QB,NE,29.6,fantasyfootballcalculator,ppr,685,2017
Isaiah Crowell,RB,CLE,29.8,fantasyfootballcalculator,ppr,685,2017
Terrelle Pryor,WR,WAS,30.2,fantasyfootballcalculator,ppr,685,2017
DeAndre Hopkins,WR,HOU,31.7,fantasyfootballcalculator,ppr,685,2017
Ty Montgomery II,RB,GB,32.6,fantasyfootballcalculator,ppr,685,2017
Demaryius Thomas,WR,DEN,34.5,fantasyfootballcalculator,ppr,685,2017
Carlos Hyde,RB,SF,35.2,fantasyfootballcalculator,ppr,685,2017
Lamar Miller,RB,HOU,35.2,fantasyfootballcalculator,ppr,685,2017
Marshawn Lynch,RB,LV,36.4,fantasyfootballcalculator,ppr,685,2017
Kelvin Benjamin,WR,BUF,38.6,fantasyfootballcalculator,ppr,685,2017
Travis Kelce,TE,KC,38.9,fantasyfootballcalculator,ppr,685,2017
Alshon Jeffery,WR,PHI,39.1,fantasyfootballcalculator,ppr,685,2017
