name,position,team,AVG,source,format,drafts,season
Christian McCaffrey,RB,CAR,1.2,fantasyfootballcalculator,ppr,2403,2020
Saquon Barkley,RB,NYG,2.5,fantasyfootballcalculator,ppr,2403,2020
Ezekiel Elliott,RB,DAL,3.4,fantasyfootballcalculator,ppr,2403,2020
Alvin Kamara,RB,NO,4.9,fantasyfootballcalculator,ppr,2403,2020
Michael Thomas,WR,NO,5.6,fantasyfootballcalculator,ppr,2403,2020
Clyde Edwards-Helaire,RB,KC,6.2,fantasyfootballcalculator,ppr,2403,2020
Dalvin Cook,RB,MIN,6.2,fantasyfootballcalculator,ppr,2403,2020
Derrick Henry,RB,TEN,7.4,fantasyfootballcalculator,ppr,2403,2020
Josh Jacobs,RB,LV,9.1,fantasyfootballcalculator,ppr,2403,2020
Davante Adams,WR,GB,10.4,fantasyfootballcalculator,ppr,2403,2020
Austin Ekeler,RB,LAC,11.5,fantasyfootballcalculator,ppr,2403,2020
Miles Sanders,RB,PHI,12.0,fantasyfootballcalculator,ppr,2403,2020
Joe Mixon,RB,CIN,13.1,fantasyfootballcalculator,ppr,2403,2020
Julio Jones,WR,ATL,14.4,fantasyfootballcalculator,ppr,2403,2020
Kenyan Drake,RB,ARI,14.8,fantasyfootballcalculator,ppr,2403,2020
Tyreek Hill,WR,KC,15.8,fantasyfootballcalculator,ppr,2403,2020
Nick Chubb,RB,CLE,16.3,fantasyfootballcalculator,ppr,2403,2020
Aaron Jones Sr.,RB,GB,17.5,fantasyfootballcalculator,ppr,2403,2020
DeAndre Hopkins,WR,ARI,18.5,fantasyfootballcalculator,ppr,2403,2020
Patrick Mahomes,QB,KC,18.7,fantasyfootballcalculator,ppr,2403,2020
Travis Kelce,TE,KC,19.9,fantasyfootballcalculator,ppr,2403,2020
Chris Godwin Jr.,WR,TB,21.5,fantasyfootballcalculator,ppr,2403,2020
James Conner,RB,PIT,22.4,fantasyfootballcalculator,ppr,2403,2020
Lamar Jackson,QB,BAL,22.7,fantasyfootballcalculator,ppr,2403,2020
George Kittle,TE,SF,24.4,fantasyfootballcalculator,ppr,2403,2020
Kenny Golladay,WR,DET,25.8,fantasyfootballcalculator,ppr,2403,2020
Chris Carson,RB,SEA,26.4,fantasyfootballcalculator,ppr,2403,2020
Mike Evans,WR,TB,27.9,fantasyfootballcalculator,ppr,2403,2020
David Johnson,RB,HOU,28.5,fantasyfootballcalculator,ppr,2403,2020
Todd Gurley,RB,ATL,29.1,fantasyfootballcalculator,ppr,2403,2020
Adam Thielen,WR,MIN,30.3,fantasyfootballcalculator,ppr,2403,2020
Allen Robinson II,WR,CHI,31.8,fantasyfootballcalculator,ppr,2403,2020
Jonathan Taylor,RB,IND,32.6,fantasyfootballcalculator,ppr,2403,2020
