name,position,team,AVG,source,format,drafts,season
Ja'Marr Chase,WR,CIN,1.5,fantasyfootballcalculator,ppr,8470,2025
Bijan Robinson,RB,ATL,2.1,fantasyfootballcalculator,ppr,8470,2025
Saquon Barkley,RB,PHI,2.5,fantasyfootballcalculator,ppr,8470,2025
Justin Jefferson,WR,MIN,4.4,fantasyfootballcalculator,ppr,8470,2025
CeeDee Lamb,WR,DAL,4.9,fantasyfootballcalculator,ppr,8470,2025
Jahmyr Gibbs,RB,DET,5.1,fantasyfootballcalculator,ppr,8470,2025
Malik Nabers,WR,NYG,7.5,fantasyfootballcalculator,ppr,8470,2025
Christian McCaffrey,RB,SF,8.0,fantasyfootballcalculator,ppr,8470,2025
Puka Nacua,WR,LAR,9.7,fantasyfootballcalculator,ppr,8470,2025
Nico Collins,WR,HOU,10.0,fantasyfootballcalculator,ppr,8470,2025
Amon-Ra St. Brown,WR,DET,10.7,fantasyfootballcalculator,ppr,8470,2025
Derrick Henry,RB,BAL,11.1,fantasyfootballcalculator,ppr,8470,2025
Ashton Jeanty,RB,LV,11.7,fantasyfootballcalculator,ppr,8470,2025
De'Von Achane,RB,MIA,14.1,fantasyfootballcalculator,ppr,8470,2025
Brian Thomas Jr.,WR,JAX,14.7,fantasyfootballcalculator,ppr,8470,2025
Drake London,WR,ATL,15.4,fantasyfootballcalculator,ppr,8470,2025
Josh Jacobs,RB,GB,16.6,fantasyfootballcalculator,ppr,8470,2025
A.J. Brown,WR,PHI,17.9,fantasyfootballcalculator,ppr,8470,2025
Jonathan Taylor,RB,IND,18.5,fantasyfootballcalculator,ppr,8470,2025
Bucky Irving,RB,TB,19.5,fantasyfootballcalculator,ppr,8470,2025
Chase Brown,RB,CIN,20.1,fantasyfootballcalculator,ppr,8470,2025
Tee Higgins,WR,CIN,21.7,fantasyfootballcalculator,ppr,8470,2025
Lamar Jackson,QB,BAL,22.9,fantasyfootballcalculator,ppr,8470,2025
Kyren Williams,RB,LAR,23.1,fantasyfootballcalculator,ppr,8470,2025
Ladd McConkey,WR,LAC,23.4,fantasyfootballcalculator,ppr,8470,2025
Josh Allen,QB,BUF,24.7,fantasyfootballcalculator,ppr,8470,2025
Tyreek Hill,WR,FA,26.4,fantasyfootballcalculator,ppr,8470,2025
Brock Bowers,TE,LV,27.1,fantasyfootballcalculator,ppr,8470,2025
Davante Adams,WR,LAR,29.0,fantasyfootballcalculator,ppr,8470,2025
Alvin Kamara,RB,NO,29.7,fantasyfootballcalculator,ppr,8470,2025
Mike Evans,WR,SF,30.0,fantasyfootballcalculator,ppr,8470,2025
Joe Burrow,QB,CIN,30.3,fantasyfootballcalculator,ppr,8470,2025
Jayden Daniels,QB,WAS,31.4,fantasyfootballcalculator,ppr,8470,2025
Trey McBride,TE,ARI,32.6,fantasyfootballcalculator,ppr,8470,2025
Jaxon Smith-Njigba,WR,SEA,33.0,fantasyfootballcalculator,ppr,8470,2025
James Cook III,RB,BUF,33.7,fantasyfootballcalculator,ppr,8470,2025
DK Metcalf,WR,PIT,37.6,fantasyfootballcalculator,ppr,8470,2025
Terry McLaurin,WR,WAS,38.3,fantasyfootballcalculator,ppr,8470,2025
Jalen Hurts,QB,PHI,38.5,fantasyfootballcalculator,ppr,8470,2025
Omarion Hampton,RB,LAC,38.6,fantasyfootballcalculator,ppr,8470,2025
Marvin Harrison Jr.,WR,ARI,39.0,fantasyfootballcalculator,ppr,8470,2025
Garrett Wilson,WR,NYJ,39.5,fantasyfootballcalculator,ppr,8470,2025
Chuba Hubbard,RB,CAR,40.2,fantasyfootballcalculator,ppr,8470,2025
James Conner,RB,ARI,42.3,fantasyfootballcalculator,ppr,8470,2025
DJ Moore,WR,BUF,43.5,fantasyfootballcalculator,ppr,8470,2025
George Kittle,TE,SF,43.9,fantasyfootballcalculator,ppr,8470,2025
Kenneth Walker,RB,KC,44.0,fantasyfootballcalculator,ppr,8470,2025
Courtland Sutton,WR,DEN,47.3,fantasyfootballcalculator,ppr,8470,2025
Breece Hall,RB,NYJ,47.5,fantasyfootballcalculator,ppr,8470,2025
DeVonta Smith,WR,PHI,48.3,fantasyfootballcalculator,ppr,8470,2025
TreVeyon Henderson,RB,NE,50.3,fantasyfootballcalculator,ppr,8470,2025
Xavier Worthy,WR,KC,50.9,fantasyfootballcalculator,ppr,8470,2025
Patrick Mahomes,QB,KC,52.3,fantasyfootballcalculator,ppr,8470,2025
Tetairoa McMillan,WR,CAR,52.3,fantasyfootballcalculator,ppr,8470,2025
Baker Mayfield,QB,TB,53.3,fantasyfootballcalculator,ppr,8470,2025
Tony Pollard,RB,TEN,56.8,fantasyfootballcalculator,ppr,8470,2025
D'Andre Swift,RB,CHI,56.8,fantasyfootballcalculator,ppr,8470,2025
Zay Flowers,WR,BAL,56.8,fantasyfootballcalculator,ppr,8470,2025
Calvin Ridley,WR,TEN,57.1,fantasyfootballcalculator,ppr,8470,2025
Jerry Jeudy,WR,CLE,58.8,fantasyfootballcalculator,ppr,8470,2025
George Pickens,WR,DAL,59.6,fantasyfootballcalculator,ppr,8470,2025
David Montgomery,RB,HOU,60.3,fantasyfootballcalculator,ppr,8470,2025
RJ Harvey,RB,DEN,61.9,fantasyfootballcalculator,ppr,8470,2025
Sam LaPorta,TE,DET,63.0,fantasyfootballcalculator,ppr,8470,2025
Aaron Jones Sr.,RB,MIN,63.2,fantasyfootballcalculator,ppr,8470,2025
Jameson Williams,WR,DET,63.4,fantasyfootballcalculator,ppr,8470,2025
Travis Kelce,TE,KC,65.0,fantasyfootballcalculator,ppr,8470,2025
Jaylen Waddle,WR,MIA,65.2,fantasyfootballcalculator,ppr,8470,2025
Isiah Pacheco,RB,DET,66.8,fantasyfootballcalculator,ppr,8470,2025
Bo Nix,QB,DEN,66.9,fantasyfootballcalculator,ppr,8470,2025
Deebo Samuel Sr.,WR,FA,70.4,fantasyfootballcalculator,ppr,8470,2025
Travis Hunter,WR,JAX,70.8,fantasyfootballcalculator,ppr,8470,2025
Jakobi Meyers,WR,JAX,70.9,fantasyfootballcalculator,ppr,8470,2025
Chris Olave,WR,NO,72.0,fantasyfootballcalculator,ppr,8470,2025
T.J. Hockenson,TE,MIN,73.1,fantasyfootballcalculator,ppr,8470,2025
Tyrone Tracy Jr.,RB,NYG,74.8,fantasyfootballcalculator,ppr,8470,2025
Ricky Pearsall,WR,SF,76.1,fantasyfootballcalculator,ppr,8470,2025
Jaylen Warren,RB,PIT,76.3,fantasyfootballcalculator,ppr,8470,2025
David Njoku,TE,FA,76.6,fantasyfootballcalculator,ppr,8470,2025
Stefon Diggs,WR,FA,77.3,fantasyfootballcalculator,ppr,8470,2025
Brock Purdy,QB,SF,77.5,fantasyfootballcalculator,ppr,8470,2025
Matthew Golden,WR,GB,78.2,fantasyfootballcalculator,ppr,8470,2025
