name,position,team,AVG,source,format,drafts,season
Antonio Brown,WR,PIT,1.2,fantasyfootballcalculator,ppr,956,2016
Julio Jones,WR,ATL,2.8,fantasyfootballcalculator,ppr,956,2016
Odell Beckham Jr.,WR,NYG,3.4,fantasyfootballcalculator,ppr,956,2016
David Johnson,RB,ARI,3.4,fantasyfootballcalculator,ppr,956,2016
Todd Gurley,RB,LAR,6.3,fantasyfootballcalculator,ppr,956,2016
A.J. Green,WR,CIN,6.4,fantasyfootballcalculator,ppr,956,2016
DeAndre Hopkins,WR,HOU,6.4,fantasyfootballcalculator,ppr,956,2016
Ezekiel Elliott,RB,DAL,8.3,fantasyfootballcalculator,ppr,956,2016
Allen Robinson II,WR,JAX,9.2,fantasyfootballcalculator,ppr,956,2016
Lamar Miller,RB,HOU,9.8,fantasyfootballcalculator,ppr,956,2016
Adrian Peterson,RB,MIN,10.7,fantasyfootballcalculator,ppr,956,2016
LeVeon Bell,RB,PIT,12.3,fantasyfootballcalculator,ppr,956,2016
Brandon Marshall,WR,NYJ,13.0,fantasyfootballcalculator,ppr,956,2016
Keenan Allen,WR,LAC,13.8,fantasyfootballcalculator,ppr,956,2016
Rob Gronkowski,TE,NE,14.2,fantasyfootballcalculator,ppr,956,2016
Mike Evans,WR,TB,15.7,fantasyfootballcalculator,ppr,956,2016
Dez Bryant,WR,DAL,16.4,fantasyfootballcalculator,ppr,956,2016
Jordy Nelson,WR,GB,17.3,fantasyfootballcalculator,ppr,956,2016
Devonta Freeman,RB,ATL,19.2,fantasyfootballcalculator,ppr,956,2016
Jamaal Charles,RB,KC,19.4,fantasyfootballcalculator,ppr,956,2016
Amari Cooper,WR,LV,20.1,fantasyfootballcalculator,ppr,956,2016
LeSean McCoy,RB,BUF,22.0,fantasyfootballcalculator,ppr,956,2016
Alshon Jeffery,WR,CHI,22.1,fantasyfootballcalculator,ppr,956,2016
Brandin Cooks,WR,NO,23.3,fantasyfootballcalculator,ppr,956,2016
Eddie Lacy,RB,GB,24.0,fantasyfootballcalculator,ppr,956,2016
Mark Ingram II,RB,NO,25.5,fantasyfootballcalculator,ppr,956,2016
Jarvis Landry,WR,MIA,26.9,fantasyfootballcalculator,ppr,956,2016
Sammy Watkins,WR,BUF,28.3,fantasyfootballcalculator,ppr,956,2016
T.Y. Hilton,WR,IND,29.4,fantasyfootballcalculator,ppr,956,2016
Demaryius Thomas,WR,DEN,29.7,fantasyfootballcalculator,ppr,956,2016
Doug Martin,RB,TB,30.8,fantasyfootballcalculator,ppr,956,2016
Randall Cobb,WR,GB,31.5,fantasyfootballcalculator,ppr,956,2016
CJ Anderson,RB,DEN,33.2,fantasyfootballcalculator,ppr,956,2016
Cam Newton,QB,CAR,34.5,fantasyfootballcalculator,ppr,956,2016
Jordan Reed,TE,WAS,35.1,fantasyfootballcalculator,ppr,956,2016
Julian Edelman,WR,NE,35.1,fantasyfootballcalculator,ppr,956,2016
Latavius Murray,RB,LV,35.8,fantasyfootballcalculator,ppr,956,2016
Jeremy Maclin,WR,KC,37.3,fantasyfootballcalculator,ppr,956,2016
Donte Moncrief,WR,IND,38.4,fantasyfootballcalculator,ppr,956,2016
Aaron Rodgers,QB,GB,38.7,fantasyfootballcalculator,ppr,956,2016
Kelvin Benjamin,WR,CAR,39.2,fantasyfootballcalculator,ppr,956,2016
DeMarco Murray,RB,TEN,40.3,fantasyfootballcalculator,ppr,956,2016
Thomas Rawls,RB,SEA,41.0,fantasyfootballcalculator,ppr,956,2016
Matt Forte,RB,NYJ,43.1,fantasyfootballcalculator,ppr,956,2016
Golden Tate,WR,DET,43.6,fantasyfootballcalculator,ppr,956,2016
Eric Decker,WR,NYJ,44.9,fantasyfootballcalculator,ppr,956,2016
Carlos Hyde,RB,SF,45.7,fantasyfootballcalculator,ppr,956,2016
Jeremy Langford,RB,CHI,47.1,fantasyfootballcalculator,ppr,956,2016
Greg Olsen,TE,CAR,48.4,fantasyfootballcalculator,ppr,956,2016
Doug Baldwin,WR,SEA,48.8,fantasyfootballcalculator,ppr,956,2016
Jeremy Hill,RB,CIN,49.1,fantasyfootballcalculator,ppr,956,2016
Josh Gordon,WR,CLE,49.8,fantasyfootballcalculator,ppr,956,2016
Michael Floyd,WR,ARI,52.3,fantasyfootballcalculator,ppr,956,2016
Russell Wilson,QB,SEA,53.2,fantasyfootballcalculator,ppr,956,2016
Melvin Gordon III,RB,LAC,53.7,fantasyfootballcalculator,ppr,956,2016
Danny Woodhead,RB,LAC,53.7,fantasyfootballcalculator,ppr,956,2016
Marvin Jones Jr.,WR,DET,56.2,fantasyfootballcalculator,ppr,956,2016
Arian Foster,RB,MIA,57.4,fantasyfootballcalculator,ppr,956,2016
Giovani Bernard,RB,CIN,57.7,fantasyfootballcalculator,ppr,956,2016
Andrew Luck,QB,IND,58.3,fantasyfootballcalculator,ppr,956,2016
Larry Fitzgerald,WR,ARI,60.2,fantasyfootballcalculator,ppr,956,2016
Ryan Mathews,RB,PHI,60.4,fantasyfootballcalculator,ppr,956,2016
Drew Brees,QB,NO,61.1,fantasyfootballcalculator,ppr,956,2016
Jonathan Stewart,RB,CAR,62.8,fantasyfootballcalculator,ppr,956,2016
Delanie Walker,TE,TEN,64.0,fantasyfootballcalculator,ppr,956,2016
Jordan Matthews,WR,PHI,64.2,fantasyfootballcalculator,ppr,956,2016
Travis Kelce,TE,KC,64.3,fantasyfootballcalculator,ppr,956,2016
Allen Hurns,WR,JAX,65.5,fantasyfootballcalculator,ppr,956,2016
Duke Johnson,RB,CLE,66.9,fantasyfootballcalculator,ppr,956,2016
Tom Brady,QB,NE,68.5,fantasyfootballcalculator,ppr,956,2016
DeAngelo Williams,RB,PIT,69.1,fantasyfootballcalculator,ppr,956,2016
Emmanuel Sanders,WR,DEN,70.6,fantasyfootballcalculator,ppr,956,2016
Ben Roethlisberger,QB,PIT,72.0,fantasyfootballcalculator,ppr,956,2016
Coby Fleener,TE,NO,72.7,fantasyfootballcalculator,ppr,956,2016
Tyler Lockett,WR,SEA,73.4,fantasyfootballcalculator,ppr,956,2016
Frank Gore,RB,IND,73.8,fantasyfootballcalculator,ppr,956,2016
Rashad Jennings,RB,NYG,74.9,fantasyfootballcalculator,ppr,956,2016
John Brown,WR,ARI,78.3,fantasyfootballcalculator,ppr,956,2016
Matt Jones,RB,WAS,78.4,fantasyfootballcalculator,ppr,956,2016
Derrick Henry,RB,TEN,78.5,fantasyfootballcalculator,ppr,956,2016
Michael Crabtree,WR,LV,78.6,fantasyfootballcalculator,ppr,956,2016
Gary Barnidge,TE,CLE,79.6,fantasyfootballcalculator,ppr,956,2016
DeSean Jackson,WR,WAS,81.9,fantasyfootballcalculator,ppr,956,2016
Ameer Abdullah,RB,DET,82.1,fantasyfootballcalculator,ppr,956,2016
Carson Palmer,QB,ARI,83.8,fantasyfootballcalculator,ppr,956,2016
