name,position,sleeper_adp
Christian McCaffrey,RB,1
Dalvin Cook,RB,2
Derrick Henry,RB,3
Alvin Kamara,RB,4
Ezekiel Elliott,RB,5
Nick Chubb,RB,6
Aaron Jones,RB,7
Davante Adams,WR,11
Jonathan Taylor,RB,9
Tyreek Hill,WR,10
Saquon Barkley,RB,8
Travis Kelce,TE,12
Austin Ekeler,RB,13
Stefon Diggs,WR,16
Najee Harris,RB,14
Antonio Gibson,RB,21
DeAndre Hopkins,WR,15
Patrick Mahomes II,QB,19
Joe Mixon,RB,17
Calvin Ridley,WR,20
D.K. Metcalf,WR,18
Clyde Edwards-Helaire,RB,22
Darren Waller,TE,25
Justin Jefferson,WR,28
A.J. Brown,WR,24
George Kittle,TE,23
Keenan Allen,WR,26
David Montgomery,RB,27
Chris Carson,RB,29
Terry McLaurin,WR,30
Josh Allen,QB,36
Allen Robinson II,WR,32
Josh Jacobs,RB,31
CeeDee Lamb,WR,37
Mike Evans,WR,34
D'Andre Swift,RB,35
James Robinson,RB,33
Miles Sanders,RB,38
Kyler Murray,QB,39
Chris Godwin,WR,40
Robert Woods,WR,45
Amari Cooper,WR,41
Lamar Jackson,QB,46
Cooper Kupp,WR,47
Julio Jones,WR,43
Kyle Pitts,TE,44
Darrell Henderson,RB,42
Tyler Lockett,WR,51
Myles Gaskin,RB,53
Mark Andrews,TE,49
Adam Thielen,WR,52
D.J. Moore,WR,48
Kareem Hunt,RB,50
Diontae Johnson,WR,54
Dak Prescott,QB,58
T.J. Hockenson,TE,57
Russell Wilson,QB,56
Aaron Rodgers,QB,65
Brandon Aiyuk,WR,61
Justin Herbert,QB,59
Raheem Mostert,RB,67
Chase Edmonds,RB,60
Damien Harris,RB,71
Javonte Williams,RB,63
Tee Higgins,WR,64
Chase Claypool,WR,68
Odell Beckham Jr.,WR,69
Ja'Marr Chase,WR,66
Tom Brady,QB,79
Jerry Jeudy,WR,72
Ronald Jones II,RB,74
Kenny Golladay,WR,70
Gus Edwards,RB,73
Michael Thomas,WR,62
Trey Sermon,RB,77
Logan Thomas,TE,92
Melvin Gordon III,RB,75
