name,position,sleeper_adp
Robby Anderson,WR,80
JuJu Smith-Schuster,WR,76
Courtland Sutton,WR,78
Noah Fant,TE,82
Deebo Samuel,WR,81
DeVonta Smith,WR,84
Robert Tonyan,TE,87
Leonard Fournette,RB,85
Antonio Brown,WR,95
Matthew Stafford,QB,89
Tyler Boyd,WR,90
Michael Carter,RB,88
Jalen Hurts,QB,104
Dallas Goedert,TE,86
AJ Dillon,RB,99
Zack Moss,RB,93
D.J. Chark Jr.,WR,83
Ryan Tannehill,QB,103
Tyler Higbee,TE,105
James Conner,RB,97
Los Angeles Rams,DST,111
Brandin Cooks,WR,91
Laviska Shenault Jr.,WR,98
Corey Davis,WR,101
Tampa Bay Buccaneers,DST,100
Pittsburgh Steelers,DST,122
Jarvis Landry,WR,94
Kenyan Drake,RB,107
Mike Davis,RB,55
Devin Singletary,RB,113
Washington Football Team,DST,115
David Johnson,RB,112
Jamaal Williams,RB,117
Joe Burrow,QB,121
Rob Gronkowski,TE,102
Will Fuller V,WR,106
Jaylen Waddle,WR,96
Mike Gesicki,TE,109
Michael Pittman Jr.,WR,110
Baltimore Ravens,DST,119
Justin Tucker,K,134
Mike Williams,WR,108
Harrison Butker,K,137
Sony Michel,RB,136
Marquez Callaway,WR,135
Michael Gallup,WR,120
Tony Pollard,RB,124
San Francisco 49ers,DST,130
Curtis Samuel,WR,114
Mecole Hardman,WR,125
Trevor Lawrence,QB,118
Younghoe Koo,K,138
Darnell Mooney,WR,116
Nyheim Hines,RB,127
Henry Ruggs III,WR,126
Tyler Bass,K,140
Baker Mayfield,QB,142
Marvin Jones Jr.,WR,132
Marquise Brown,WR,123
Matt Ryan,QB,163
Justin Fields,QB,141
Latavius Murray,RB,152
Alexander Mattison,RB,151
Trey Lance,QB,129
Jonnu Smith,TE,139
Cole Beasley,WR,150
Elijah Moore,WR,133
Jakobi Meyers,WR,154
Greg Zuerlein,K,157
Russell Gage,WR,144
Buffalo Bills,DST,131
J.D. McKissic,RB,165
Jason Sanders,K,146
Phillip Lindsay,RB,128
DeVante Parker,WR,149
Zach Ertz,TE,178
Hunter Henry,TE,147
Rhamondre Stevenson,RB,155
James White,RB,180
Kirk Cousins,QB,169
Tevin Coleman,RB,161
Denver Broncos,DST,145
Chuba Hubbard,RB,143
Tua Tagovailoa,QB,195
Mac Jones,QB,203
Indianapolis Colts,DST,166
Ryan Succop,K,162
Rondale Moore,WR,164
Ben Roethlisberger,QB,211
Giovani Bernard,RB,194
Jameis Winston,QB,175
Evan Engram,TE,174
Cleveland Browns,DST,159
New England Patriots,DST,148
Rashaad Penny,RB,191
Terrace Marshall Jr.,WR,168
Gerald Everett,TE,187
Rodrigo Blankenship,K,167
Randall Cobb,WR,176
Nelson Agholor,WR,153
Jared Cook,TE,160
A.J. Green,WR,189
Pat Freiermuth,TE,205
Marlon Mack,RB,199
Emmanuel Sanders,WR,212
Ryan Fitzpatrick,QB,196
Zach Wilson,QB,184
Kansas City Chiefs,DST,179
Tyrell Williams,WR,207
Mark Ingram II,RB,208
Mason Crosby,K,156
Jalen Reagor,WR,172
Robbie Gould,K,177
Darrel Williams,RB,216
Bryan Edwards,WR,182
Sterling Shepard,WR,185
Kenneth Gainwell,RB,171
Blake Jarwin,TE,217
Miami Dolphins,DST,181
Deshaun Watson,QB,193
Derek Carr,QB,222
Gabriel Davis,WR,190
Amon-Ra St. Brown,WR,173
Jamison Crowder,WR,221
Matt Prater,K,186
T.Y. Hilton,WR,198
Rashod Bateman,WR,197
Devontae Booker,RB,183
Daniel Carlson,K,206
Ty'Son Williams,RB,202
Jason Myers,K,158
Ty Johnson,RB,225
Austin Hooper,TE,188
Adam Trautman,TE,201
Tony Jones Jr.,RB,223
Cole Kmet,TE,192
Malcolm Brown,RB,215
Sam Darnold,QB,237
Eric Ebron,TE,243
Tre'Quan Smith,WR,200
Daniel Jones,QB,241
Anthony Firkser,TE,236
Damien Williams,RB,214
Chicago Bears,DST,227
Christian Kirk,WR,220
Marquez Valdes-Scantling,WR,210
Green Bay Packers,DST,229
Jerick McKinnon,RB,235
Tarik Cohen,RB,247
Parris Campbell,WR,213
Minnesota Vikings,DST,204
New Orleans Saints,DST,231
Allen Lazard,WR,240
Nico Collins,WR,246
Salvon Ahmed,RB,238
Boston Scott,RB,209
Carson Wentz,QB,242
Carolina Panthers,DST,224
Kadarius Toney,WR,239
Donovan Peoples-Jones,WR,233
Darrynton Evans,RB,244
Cordarrelle Patterson,WR,230
Josh Palmer,WR,232
Tim Tebow,TE,234
Sammy Watkins,WR,219
Xavier Jones,RB,218
Carlos Hyde,RB,228
Los Angeles Chargers,DST,226
Amari Rodgers,WR,245
John Brown,WR,248
Devon Johnson,RB,249
Tre Walker,WR,250
Tony Poljan,TE,251
J.T. Luper,WR,252
Jermiah Braswell,WR,253
T.J. Simmons,WR,254
Dax Raymond,TE,255
Shaquelle Evans,WR,256
Drew Morgan,WR,257
Connor Wedington,WR,258
Trevon Grimes,WR,261
Jack Stoll,TE,262
Ben Mason,RB,263
Zach Davidson,TE,264
Eli Stove,WR,265
Reggie Gilliam,RB,266
Laquon Treadwell,WR,267
Landen Akers,WR,268
TJ Jones,WR,269
Eli Rogers,WR,270
Dane Evans,QB,271
Nick Eubanks,TE,272
Briley Moore-McKinney,TE,274
Andrew Beck,TE,275
Devine Ozigbo,RB,276
Marken Michel,WR,277
K.J. Osborn,WR,279
Dez Stewart,WR,280
Isaiah McKoy,WR,281
