name,position,team,AVG,source,format,drafts,season
Robert Griffin III,QB,WAS,79.3,fantasyfootballcalculator,ppr,764,2013
Antonio Gates,TE,LAC,80.2,fantasyfootballcalculator,ppr,764,2013
Tavon Austin,WR,LAR,80.6,fantasyfootballcalculator,ppr,764,2013
Tony Romo,QB,DAL,81.9,fantasyfootballcalculator,ppr,764,2013
T.Y. Hilton,WR,IND,83.3,fantasyfootballcalculator,ppr,764,2013
Cecil Shorts,WR,JAX,83.9,fantasyfootballcalculator,ppr,764,2013
Anquan Boldin,WR,SF,85.7,fantasyfootballcalculator,ppr,764,2013
Fred Jackson,RB,,88.8,fantasyfootballcalculator,ppr,764,2013
Bryce Brown,RB,PHI,88.9,fantasyfootballcalculator,ppr,764,2013
Russell Wilson,QB,SEA,89.9,fantasyfootballcalculator,ppr,764,2013
Miles Austin,WR,FA,90.6,fantasyfootballcalculator,ppr,764,2013
Bernard Pierce,RB,BAL,91.6,fantasyfootballcalculator,ppr,764,2013
Danny Woodhead,RB,LAC,91.6,fantasyfootballcalculator,ppr,764,2013
Greg Jennings,WR,MIN,91.8,fantasyfootballcalculator,ppr,764,2013
Jared Cook,TE,LAR,92.8,fantasyfootballcalculator,ppr,764,2013
Greg Olsen,TE,CAR,95.0,fantasyfootballcalculator,ppr,764,2013
Steve Johnson,WR,,95.3,fantasyfootballcalculator,ppr,764,2013
Seattle Defense,DST,SEA,96.1,fantasyfootballcalculator,ppr,764,2013
Vick Ballard,RB,IND,96.4,fantasyfootballcalculator,ppr,764,2013
Josh Gordon,WR,CLE,98.1,fantasyfootballcalculator,ppr,764,2013
Mike Williams,WR,,99.5,fantasyfootballcalculator,ppr,764,2013
Pierre Thomas,RB,NO,102.4,fantasyfootballcalculator,ppr,764,2013
Kenny Britt,WR,LAR,103.1,fantasyfootballcalculator,ppr,764,2013
Eli Manning,QB,NYG,103.7,fantasyfootballcalculator,ppr,764,2013
San Francisco Defense,DST,SF,105.3,fantasyfootballcalculator,ppr,764,2013
Michael Vick,QB,NYJ,106.0,fantasyfootballcalculator,ppr,764,2013
Golden Tate,WR,DET,106.3,fantasyfootballcalculator,ppr,764,2013
Houston Defense,DST,HOU,109.4,fantasyfootballcalculator,ppr,764,2013
Brandon Myers,TE,TB,111.4,fantasyfootballcalculator,ppr,764,2013
Jacquizz Rodgers,RB,ATL,112.2,fantasyfootballcalculator,ppr,764,2013
Lance Moore,WR,PIT,112.3,fantasyfootballcalculator,ppr,764,2013
Chicago Defense,DST,CHI,113.6,fantasyfootballcalculator,ppr,764,2013
Mikel Leshoure,RB,DET,113.8,fantasyfootballcalculator,ppr,764,2013
Isaiah Pead,RB,LAR,115.0,fantasyfootballcalculator,ppr,764,2013
DeAndre Hopkins,WR,HOU,115.0,fantasyfootballcalculator,ppr,764,2013
Owen Daniels,TE,BAL,116.0,fantasyfootballcalculator,ppr,764,2013
Andy Dalton,QB,CIN,116.6,fantasyfootballcalculator,ppr,764,2013
Denver Defense,DST,DEN,116.7,fantasyfootballcalculator,ppr,764,2013
Michael Bush,RB,FA,116.9,fantasyfootballcalculator,ppr,764,2013
Cincinnati Defense,DST,CIN,117.6,fantasyfootballcalculator,ppr,764,2013
Kenbrell Thompkins,WR,NE,122.5,fantasyfootballcalculator,ppr,764,2013
Vincent Brown,WR,LAC,123.5,fantasyfootballcalculator,ppr,764,2013
Emmanuel Sanders,WR,DEN,123.5,fantasyfootballcalculator,ppr,764,2013
LaMichael James,RB,SF,123.7,fantasyfootballcalculator,ppr,764,2013
Joseph Randle,RB,DAL,124.3,fantasyfootballcalculator,ppr,764,2013
Jordan Cameron,TE,CLE,124.5,fantasyfootballcalculator,ppr,764,2013
Ben Roethlisberger,QB,PIT,124.7,fantasyfootballcalculator,ppr,764,2013
Chris Givens,WR,LAR,125.7,fantasyfootballcalculator,ppr,764,2013
Martellus Bennett,TE,CHI,126.2,fantasyfootballcalculator,ppr,764,2013
Jay Cutler,QB,CHI,126.4,fantasyfootballcalculator,ppr,764,2013
New England Defense,DST,NE,127.6,fantasyfootballcalculator,ppr,764,2013
Carson Palmer,QB,ARI,128.0,fantasyfootballcalculator,ppr,764,2013
Michael Floyd,WR,ARI,130.8,fantasyfootballcalculator,ppr,764,2013
Fred Davis,TE,FA,132.4,fantasyfootballcalculator,ppr,764,2013
Knowshon Moreno,RB,MIA,132.7,fantasyfootballcalculator,ppr,764,2013
Aaron Dobson,WR,NE,133.3,fantasyfootballcalculator,ppr,764,2013
Shonn Greene,RB,TEN,134.3,fantasyfootballcalculator,ppr,764,2013
Bilal Powell,RB,NYJ,134.6,fantasyfootballcalculator,ppr,764,2013
Sidney Rice,WR,SEA,135.0,fantasyfootballcalculator,ppr,764,2013
Marcel Reece,RB,LV,136.1,fantasyfootballcalculator,ppr,764,2013
Matt Schaub,QB,LV,136.4,fantasyfootballcalculator,ppr,764,2013
Joique Bell,RB,DET,137.2,fantasyfootballcalculator,ppr,764,2013
Joe Flacco,QB,BAL,137.4,fantasyfootballcalculator,ppr,764,2013
Isaac Redman,RB,PIT,138.5,fantasyfootballcalculator,ppr,764,2013
Alshon Jeffery,WR,CHI,138.7,fantasyfootballcalculator,ppr,764,2013
Justin Blackmon,WR,JAX,138.7,fantasyfootballcalculator,ppr,764,2013
Baltimore Defense,DST,BAL,138.9,fantasyfootballcalculator,ppr,764,2013
