name,position,team,AVG,source,format,drafts,season
Jonathan Taylor,RB,IND,1.3,fantasyfootballcalculator,ppr,1633,2022
Christian McCaffrey,RB,SF,2.4,fantasyfootballcalculator,ppr,1633,2022
Austin Ekeler,RB,LAC,2.7,fantasyfootballcalculator,ppr,1633,2022
Derrick Henry,RB,TEN,4.3,fantasyfootballcalculator,ppr,1633,2022
Justin Jefferson,WR,MIN,4.6,fantasyfootballcalculator,ppr,1633,2022
Cooper Kupp,WR,LAR,5.7,fantasyfootballcalculator,ppr,1633,2022
Najee Harris,RB,PIT,7.1,fantasyfootballcalculator,ppr,1633,2022
Dalvin Cook,RB,MIN,7.5,fantasyfootballcalculator,ppr,1633,2022
Ja'Marr Chase,WR,CIN,8.7,fantasyfootballcalculator,ppr,1633,2022
Joe Mixon,RB,CIN,10.1,fantasyfootballcalculator,ppr,1633,2022
Alvin Kamara,RB,NO,10.9,fantasyfootballcalculator,ppr,1633,2022
Davante Adams,WR,LV,12.0,fantasyfootballcalculator,ppr,1633,2022
D'Andre Swift,RB,DET,12.8,fantasyfootballcalculator,ppr,1633,2022
Stefon Diggs,WR,BUF,13.6,fantasyfootballcalculator,ppr,1633,2022
Aaron Jones Sr.,RB,GB,14.9,fantasyfootballcalculator,ppr,1633,2022
Saquon Barkley,RB,NYG,15.5,fantasyfootballcalculator,ppr,1633,2022
Travis Kelce,TE,KC,16.5,fantasyfootballcalculator,ppr,1633,2022
CeeDee Lamb,WR,DAL,17.5,fantasyfootballcalculator,ppr,1633,2022
Nick Chubb,RB,CLE,18.8,fantasyfootballcalculator,ppr,1633,2022
Deebo Samuel Sr.,WR,SF,19.6,fantasyfootballcalculator,ppr,1633,2022
Javonte Williams,RB,DEN,20.2,fantasyfootballcalculator,ppr,1633,2022
Josh Allen,QB,BUF,20.4,fantasyfootballcalculator,ppr,1633,2022
Leonard Fournette,RB,TB,21.9,fantasyfootballcalculator,ppr,1633,2022
Tyreek Hill,WR,MIA,22.7,fantasyfootballcalculator,ppr,1633,2022
Michael Pittman Jr.,WR,IND,24.9,fantasyfootballcalculator,ppr,1633,2022
Mark Andrews,TE,BAL,25.5,fantasyfootballcalculator,ppr,1633,2022
Mike Evans,WR,TB,26.5,fantasyfootballcalculator,ppr,1633,2022
Ezekiel Elliott,RB,DAL,27.7,fantasyfootballcalculator,ppr,1633,2022
James Conner,RB,ARI,28.4,fantasyfootballcalculator,ppr,1633,2022
Keenan Allen,WR,LAC,29.5,fantasyfootballcalculator,ppr,1633,2022
A.J. Brown,WR,PHI,30.4,fantasyfootballcalculator,ppr,1633,2022
Kyle Pitts Sr.,TE,ATL,31.2,fantasyfootballcalculator,ppr,1633,2022
Tee Higgins,WR,CIN,32.5,fantasyfootballcalculator,ppr,1633,2022
Cam Akers,RB,LAR,33.1,fantasyfootballcalculator,ppr,1633,2022
Justin Herbert,QB,LAC,33.2,fantasyfootballcalculator,ppr,1633,2022
