player,position,injury_date,games_missed,body_part,site,condition
Odell Beckham Jr.,WR,2017-10-08,11,Pedal,Ankle,Fracture
Stefon Diggs,WR,2017-10-09,2,Inguinal,Groin,Strain
Aaron Rodgers,QB,2017-10-15,7,Shoulder,Clavicle,Fracture
JuJu Smith-Schuster,WR,2017-10-22,0,Head,Cranial,Concussion
Deshaun Watson,QB,2017-11-02,9,Knee,ACL,Tear
Zay Jones,WR,2017-11-02,1,Knee,Unspecified,Strain
George Kittle,TE,2017-11-05,1,Pedal,Ankle,Sprain\/Pull Unspecified
Aaron Jones,RB,2017-11-12,2,Knee,MCL,Sprain
Curtis Samuel,WR,2017-11-13,6,Pedal,Ankle,Fracture
JuJu Smith-Schuster,WR,2017-11-16,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Sterling Shepard,WR,2017-11-18,2,Head,Cranial,Migraine
Sterling Shepard,WR,2017-12-03,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Joe Mixon,RB,2017-12-04,2,Head,Cranial,Concussion
Alvin Kamara,RB,2017-12-07,0,Head,Cranial,Concussion
Hunter Henry,TE,2017-12-16,2,Abdomen,Kidney,Lacerated
Davante Adams,WR,2017-12-17,2,Head,Cranial,Concussion
Austin Ekeler,RB,2017-12-17,0,Hand,Wrist,Fracture
Aaron Jones,RB,2017-12-23,1,Knee,MCL,Sprain
Evan Engram,TE,2017-12-24,1,Chest,Rib,Bruise
Sterling Shepard,WR,2017-12-24,1,Cervical,Neck,Strain
Joe Mixon,RB,2017-12-24,0,Pedal,Ankle,Sprain\/Pull Unspecified
DeAndre Hopkins,WR,2017-12-25,1,Leg,Calf,Pull
Samaje Perine,RB,2017-12-31,0,Pedal,Ankle,Sprain\/Pull Unspecified
Travis Kelce,TE,2018-01-06,0,Head,Cranial,Concussion
Jonnu Smith,TE,2018-01-13,0,Knee,MCL,Tear
Hunter Henry,TE,2018-05-22,17,Knee,ACL,Tear
Aaron Jones,RB,2018-07-28,0,Thigh,Hamstring,Sprain\/Pull Unspecified
George Kittle,TE,2018-08-09,0,Shoulder,A\/C Joint,Separation
Saquon Barkley,RB,2018-08-13,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Samaje Perine,RB,2018-08-16,4,Pedal,Ankle,Sprain\/Pull Unspecified
Austin Ekeler,RB,2018-08-19,0,Leg,Calf,Strain
Evan Engram,TE,2018-08-24,0,Head,Cranial,Concussion
Aaron Rodgers,QB,2018-09-09,0,Knee,MCL,Sprain
Marcus Mariota,QB,2018-09-09,1,Arm,Elbow,Sprain
Joe Mixon,RB,2018-09-13,2,Knee,Unspecified,Tear
Evan Engram,TE,2018-09-23,3,Knee,MCL,Sprain
Will Dissly,TE,2018-09-30,12,Knee,Patella,Ligament Tear
Cooper Kupp,WR,2018-10-07,0,Head,Cranial,Concussion
Josh Allen,QB,2018-10-14,4,Arm,Elbow,Sprain
