player,position,injury_date,games_missed,body_part,site,condition
Jonnu Smith,TE,2021-08-15,0,Pedal,Ankle,Sprain\/Pull Unspecified
Travis Etienne,RB,2021-08-16,16,Pedal,Lisfranc,Sprain
Darnell Washington,TE,2021-08-17,4,Pedal,Foot,Fracture
D.J. Moore,WR,2021-08-18,0,Back,Tailbone,Bruise
Justin Fields,QB,2021-08-18,0,Inguinal,Groin,Pull
Deebo Samuel,WR,2021-08-20,0,Thigh,Glute,Strain
Tyreek Hill,WR,2021-08-20,0,Thigh,Hamstring,Sprain\/Pull Unspecified
A.J. Brown,WR,2021-08-23,0,Knee,Unspecified,Strain
Adam Trautman,TE,2021-08-23,0,Pedal,Ankle,Sprain
Noah Fant,TE,2021-08-24,0,Knee,Unspecified,Strain
Brandon Aiyuk,WR,2021-08-27,0,Thigh,Hamstring,Sprain\/Pull Unspecified
J.K. Dobbins,RB,2021-08-28,19,Knee,ACL,Tear
J.K. Dobbins,RB,2021-08-28,19,Knee,Meniscus,Trim
J.K. Dobbins,RB,2021-08-28,19,Knee,LCL,Tear
J.K. Dobbins,RB,2021-08-28,19,Thigh,Hamstring,Tear
Evan Engram,TE,2021-08-29,2,Leg,Calf,Strain
Darius Slayton,WR,2021-08-29,0,Pedal,Ankle,Sprain\/Pull Unspecified
Rhamondre Stevenson,RB,2021-09-01,0,Hand,Thumb,Dislocation
Justice Hill,RB,2021-09-02,17,Pedal,Achilles,Tear
Josh Jacobs,RB,2021-09-06,2,Pedal,Toe,Sprain
Darnell Mooney,WR,2021-09-08,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Austin Ekeler,RB,2021-09-08,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Jerry Jeudy,WR,2021-09-12,6,Pedal,Ankle (high),Sprain
Josh Jacobs,RB,2021-09-13,2,Pedal,Ankle,Sprain\/Pull Unspecified
Marcus Mariota,QB,2021-09-13,5,Leg,Quad,Strain
Marquise Brown,WR,2021-09-15,0,Pedal,Ankle,Sprain\/Pull Unspecified
Baker Mayfield,QB,2021-09-19,0,Shoulder,Labrum,Tear
Nico Collins,WR,2021-09-19,3,Shoulder,Unspecified,Unspecified
Tee Higgins,WR,2021-09-19,2,Shoulder,Unspecified,Unspecified
Tua Tagovailoa,QB,2021-09-19,3,Chest,Rib,Fracture
DeAndre Hopkins,WR,2021-09-22,0,Chest,Rib,Sprain\/Pull Unspecified
Darnell Mooney,WR,2021-09-22,0,Inguinal,Groin,Strain
Christian McCaffrey,RB,2021-09-23,5,Thigh,Hamstring,Strain
A.J. Brown,WR,2021-09-26,1,Thigh,Hamstring,Strain
George Kittle,TE,2021-09-26,3,Leg,Calf,Strain
Darius Slayton,WR,2021-09-26,3,Thigh,Hamstring,Strain
Sterling Shepard,WR,2021-09-26,1,Thigh,Hamstring,Strain
Marquez Valdes-Scantling,WR,2021-09-26,5,Thigh,Hamstring,Strain
JuJu Smith-Schuster,WR,2021-09-26,0,Chest,Rib,Bruise
Tyler Lockett,WR,2021-09-26,0,Inguinal,Hip,Strain
Lamar Jackson,QB,2021-09-29,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Jonathan Taylor,RB,2021-09-29,0,Knee,Unspecified,Strain
D.K. Metcalf,WR,2021-09-30,0,Pedal,Foot,Unspecified
Antonio Gibson,RB,2021-09-30,0,Leg,Shin,Bruise
Joe Mixon,RB,2021-09-30,0,Pedal,Ankle,Sprain\/Pull Unspecified
Isaac Guerendo,RB,2021-10-02,8,Pedal,Ankle,Ligament Tear
David Montgomery,RB,2021-10-03,3,Knee,Unspecified,Strain
Dyami Brown,WR,2021-10-03,1,Knee,Unspecified,Strain
Tyler Higbee,TE,2021-10-04,0,Pedal,Ankle,Sprain\/Pull Unspecified
T.J. Hockenson,TE,2021-10-06,0,Knee,Unspecified,Strain
Russell Wilson,QB,2021-10-07,3,Hand,Finger,Fracture
Courtland Sutton,WR,2021-10-08,0,Pedal,Ankle,Sprain\/Pull Unspecified
Daniel Jones,QB,2021-10-10,0,Head,Cranial,Concussion
Saquon Barkley,RB,2021-10-10,1,Pedal,Ankle,Sprain\/Pull Unspecified
Travis Kelce,TE,2021-10-10,0,Cervical,Neck,Stinger
Curtis Samuel,WR,2021-10-10,5,Inguinal,Groin,Strain
Tyreek Hill,WR,2021-10-10,0,Leg,Quad,Strain
JuJu Smith-Schuster,WR,2021-10-10,12,Shoulder,Unspecified,Unspecified
Nick Chubb,RB,2021-10-10,2,Leg,Calf,Strain
Taysom Hill,TE,2021-10-10,0,Head,Cranial,Concussion
Justin Jefferson,WR,2021-10-13,0,Pedal,Ankle,Sprain\/Pull Unspecified
Kareem Hunt,RB,2021-10-13,0,Hand,Wrist,Sprain\/Pull Unspecified
Kareem Hunt,RB,2021-10-13,0,Knee,Unspecified,Strain
Terry McLaurin,WR,2021-10-15,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Dak Prescott,QB,2021-10-17,1,Leg,Calf,Strain
Baker Mayfield,QB,2021-10-17,1,Shoulder,Labrum,Tear
Antonio Gibson,RB,2021-10-17,0,Leg,Shin,Bruise
Kareem Hunt,RB,2021-10-17,5,Leg,Calf,Strain
Tyreek Hill,WR,2021-10-17,0,Leg,Quad,Strain
Odell Beckham Jr.,WR,2021-10-17,0,Shoulder,A\/C Joint,Sprain
Dawson Knox,TE,2021-10-18,2,Hand,Wrist,Fracture
Nico Collins,WR,2021-10-21,0,Pedal,Foot,Unspecified
Sterling Shepard,WR,2021-10-21,1,Thigh,Hamstring,Strain
Darren Waller,TE,2021-10-23,1,Pedal,Ankle,Sprain\/Pull Unspecified
Josh Jacobs,RB,2021-10-24,0,Chest,Rib,Bruise
Dyami Brown,WR,2021-10-24,1,Knee,Unspecified,Strain
Miles Sanders,RB,2021-10-24,3,Pedal,Ankle,Sprain
Jonnu Smith,TE,2021-10-24,0,Shoulder,Unspecified,Unspecified
DeAndre Hopkins,WR,2021-10-25,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Kyler Murray,QB,2021-10-28,3,Pedal,Ankle,Sprain
DeAndre Hopkins,WR,2021-10-28,3,Thigh,Hamstring,Strain
Austin Ekeler,RB,2021-10-28,0,Inguinal,Hip,Sprain
Derrick Henry,RB,2021-10-31,9,Pedal,Foot,Fracture
Sam Darnold,QB,2021-10-31,0,Head,Cranial,Concussion
Van Jefferson,WR,2021-10-31,0,Knee,Unspecified,Strain
Deebo Samuel,WR,2021-11-01,0,Leg,Calf,Strain
Sterling Shepard,WR,2021-11-01,4,Leg,Quad,Strain
CeeDee Lamb,WR,2021-11-03,0,Pedal,Ankle,Sprain\/Pull Unspecified
Tua Tagovailoa,QB,2021-11-03,1,Hand,Finger,Fracture
Matthew Stafford,QB,2021-11-04,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
A.J. Brown,WR,2021-11-05,0,Knee,Unspecified,Strain
Rashod Bateman,WR,2021-11-05,0,Inguinal,Groin,Pull
Trevor Lawrence,QB,2021-11-07,0,Pedal,Ankle,Sprain\/Pull Unspecified
Matthew Stafford,QB,2021-11-07,0,Pedal,Ankle,Sprain\/Pull Unspecified
Sam Darnold,QB,2021-11-07,5,Shoulder,Scapula,Fracture
Rhamondre Stevenson,RB,2021-11-07,0,Head,Cranial,Concussion
Jonnu Smith,TE,2021-11-07,1,Shoulder,Unspecified,Unspecified
Chris Godwin,WR,2021-11-10,0,Pedal,Foot,Unspecified
Alvin Kamara,RB,2021-11-10,4,Knee,MCL,Sprain
Najee Harris,RB,2021-11-11,0,Pedal,Foot,Unspecified
Aaron Rodgers,QB,2021-11-13,0,Pedal,Toe,Fracture
Jared Goff,QB,2021-11-14,1,Abdomen,Muscle,Strain
CeeDee Lamb,WR,2021-11-14,0,Arm,Elbow,Bruise
Baker Mayfield,QB,2021-11-14,0,Knee,Unspecified,Strain
Dallas Goedert,TE,2021-11-14,0,Head,Cranial,Concussion
Aaron Jones,RB,2021-11-14,1,Knee,MCL,Sprain
Deebo Samuel,WR,2021-11-16,0,Leg,Shin,Bruise
Marquise Brown,WR,2021-11-17,1,Thigh,Glute,Strain
Taysom Hill,TE,2021-11-17,0,Pedal,Foot,Plantar Fasciitis
CeeDee Lamb,WR,2021-11-21,1,Head,Cranial,Concussion
A.J. Brown,WR,2021-11-21,3,Chest,Rib,Sprain\/Pull Unspecified
Adam Trautman,TE,2021-11-21,3,Knee,MCL,Sprain
Michael Carter,RB,2021-11-21,3,Pedal,Ankle (high),Sprain
Justin Fields,QB,2021-11-21,1,Chest,Rib,Fracture
Hunter Henry,TE,2021-11-24,0,Cervical,Neck,Unspecified
D\u0027Andre Swift,RB,2021-11-25,1,Shoulder,A\/C Joint,Sprain
Rhamondre Stevenson,RB,2021-11-25,0,Knee,Unspecified,Strain
Darren Waller,TE,2021-11-25,5,Knee,Unspecified,Strain
Nico Collins,WR,2021-11-26,0,Inguinal,Hip,Sprain
Jalen Hurts,QB,2021-11-28,1,Pedal,Ankle (high),Sprain
Christian McCaffrey,RB,2021-11-28,5,Pedal,Ankle,Sprain
Daniel Jones,QB,2021-11-28,6,Cervical,Neck,Pinched Nerve
Deebo Samuel,WR,2021-11-28,1,Inguinal,Groin,Strain
Pat Freiermuth,TE,2021-11-28,0,Head,Cranial,Concussion
Miles Sanders,RB,2021-11-28,0,Pedal,Ankle,Sprain\/Pull Unspecified
Odell Beckham Jr.,WR,2021-11-28,0,Inguinal,Hip,Bruise
Taysom Hill,TE,2021-12-02,0,Hand,Finger,Fracture
Joe Burrow,QB,2021-12-05,0,Hand,Finger,Dislocation
Tee Higgins,WR,2021-12-05,0,Pedal,Ankle,Sprain\/Pull Unspecified
T.J. Hockenson,TE,2021-12-05,5,Hand,Thumb,Fracture
Austin Ekeler,RB,2021-12-05,0,Pedal,Ankle,Bruise
Miles Sanders,RB,2021-12-05,0,Pedal,Ankle,Sprain\/Pull Unspecified
Josh Allen,QB,2021-12-12,0,Pedal,Toe,Turf Toe
Lamar Jackson,QB,2021-12-12,4,Pedal,Ankle,Sprain
Terry McLaurin,WR,2021-12-12,0,Head,Cranial,Concussion
D.J. Moore,WR,2021-12-12,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Kareem Hunt,RB,2021-12-12,1,Pedal,Ankle,Sprain\/Pull Unspecified
Austin Ekeler,RB,2021-12-12,0,Pedal,Ankle,Sprain\/Pull Unspecified
James Conner,RB,2021-12-13,0,Pedal,Ankle,Sprain\/Pull Unspecified
DeAndre Hopkins,WR,2021-12-13,5,Knee,MCL,Tear
George Kittle,TE,2021-12-15,0,Knee,Unspecified,Strain
Marquez Valdes-Scantling,WR,2021-12-15,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
Curtis Samuel,WR,2021-12-16,4,Thigh,Hamstring,Strain
Mike Evans,WR,2021-12-19,1,Thigh,Hamstring,Strain
Chris Godwin,WR,2021-12-19,3,Knee,ACL,Tear
Chris Godwin,WR,2021-12-19,3,Knee,MCL,Sprain
Pat Freiermuth,TE,2021-12-19,1,Head,Cranial,Concussion
Sterling Shepard,WR,2021-12-19,3,Pedal,Achilles,Tear
Joe Mixon,RB,2021-12-19,0,Pedal,Ankle,Sprain\/Pull Unspecified
James Conner,RB,2021-12-21,2,Pedal,Heel,Bruise
Antonio Gibson,RB,2021-12-21,0,Pedal,Toe,Sprain
Miles Sanders,RB,2021-12-26,2,Hand,Metacarpal,Fracture
A.J. Brown,WR,2021-12-30,0,Leg,Calf,Pull
Joe Burrow,QB,2022-01-02,1,Knee,Unspecified,Strain
Kyle Pitts,TE,2022-01-02,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Will Dissly,TE,2022-01-02,0,Pedal,Heel,Bruise
Michael Carter,RB,2022-01-02,0,Head,Cranial,Concussion
Baker Mayfield,QB,2022-01-03,1,Shoulder,Labrum,Tear
Nick Chubb,RB,2022-01-03,0,Chest,Rib,Sprain\/Pull Unspecified
Aaron Jones,RB,2022-01-05,1,Knee,Unspecified,Strain
Tyreek Hill,WR,2022-01-08,0,Pedal,Heel,Bruise
Matthew Stafford,QB,2022-01-09,0,Pedal,Toe,Sprain
James Conner,RB,2022-01-09,0,Chest,Rib,Sprain\/Pull Unspecified
Najee Harris,RB,2022-01-09,0,Arm,Elbow,Sprain
Marquez Valdes-Scantling,WR,2022-01-09,1,Back,Lower Lumbar,Sprain
Taysom Hill,TE,2022-01-09,0,Pedal,Lisfranc,Fracture
Van Jefferson,WR,2022-01-14,0,Shoulder,Unspecified,Unspecified
Deebo Samuel,WR,2022-01-22,0,Knee,Unspecified,Strain
Van Jefferson,WR,2022-01-26,0,Knee,Unspecified,Strain
Tyler Higbee,TE,2022-01-30,1,Knee,MCL,Sprain
Joe Burrow,QB,2022-02-13,0,Knee,MCL,Sprain
Odell Beckham Jr.,WR,2022-02-13,0,Knee,ACL,Tear
Matthew Stafford,QB,2022-03-09,0,Arm,Elbow,Infection
Skyy Moore,WR,2022-05-08,0,Thigh,Hamstring,Sprain\/Pull Unspecified
CeeDee Lamb,WR,2022-05-26,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Kyren Williams,RB,2022-06-01,0,Pedal,Foot,Fracture
Antonio Gibson,RB,2022-06-08,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Jerry Jeudy,WR,2022-06-13,0,Inguinal,Groin,Pull
Christian Watson,WR,2022-06-15,0,Knee,Unspecified,Tear
Pat Freiermuth,TE,2022-07-28,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Charlie Kolar,TE,2022-07-28,15,Inguinal,Groin,Sports Hernia
Taysom Hill,TE,2022-07-29,0,Chest,Rib,Bruise
Greg Dulcich,TE,2022-07-30,5,Thigh,Hamstring,Strain
Darren Waller,TE,2022-07-30,0,Thigh,Hamstring,Strain
Van Jefferson,WR,2022-07-31,6,Knee,Unspecified,Tear
Matthew Stafford,QB,2022-08-01,0,Arm,Elbow,Sprain
Najee Harris,RB,2022-08-01,0,Pedal,Lisfranc,Sprain
Jake Ferguson,TE,2022-08-02,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Tim Patrick,WR,2022-08-02,17,Knee,ACL,Tear
Ty Johnson,RB,2022-08-03,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Trey McBride,TE,2022-08-04,0,Back,Lower Lumbar,Sprain\/Pull Unspecified
DeVonta Smith,WR,2022-08-04,0,Inguinal,Groin,Pull
Drew Sample,TE,2022-08-04,0,Knee,ACL,Sprain
Mike Evans,WR,2022-08-06,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Kyler Murray,QB,2022-08-09,0,Hand,Wrist,Bruise
Kenneth Walker III,RB,2022-08-12,1,Inguinal,Groin,Sports Hernia
Drake London,WR,2022-08-12,0,Knee,Unspecified,Bruise
Miles Sanders,RB,2022-08-14,0,Thigh,Hamstring,Sprain\/Pull Unspecified
JuJu Smith-Schuster,WR,2022-08-16,0,Knee,Unspecified,Bruise
CeeDee Lamb,WR,2022-08-17,0,Pedal,Foot,Unspecified
Tyquan Thornton,WR,2022-08-19,4,Shoulder,Clavicle,Fracture
Joshua Palmer,WR,2022-08-20,0,Head,Cranial,Concussion
Marquez Valdes-Scantling,WR,2022-08-20,0,Head,Cranial,Concussion
Daniel Bellinger,TE,2022-08-28,0,Head,Cranial,Concussion
Marquise Brown,WR,2022-08-29,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Sam Darnold,QB,2022-09-01,9,Pedal,Ankle (high),Sprain
George Kittle,TE,2022-09-05,2,Inguinal,Groin,Strain
Kyren Williams,RB,2022-09-08,8,Pedal,Ankle (high),Sprain
Chris Godwin,WR,2022-09-08,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Dak Prescott,QB,2022-09-11,5,Hand,Thumb,Fracture
Tee Higgins,WR,2022-09-11,0,Head,Cranial,Concussion
D\u0027Andre Swift,RB,2022-09-11,3,Pedal,Ankle,Sprain
Wan\u0027Dale Robinson,WR,2022-09-11,4,Knee,Patella,Sprain
Alec Pierce,WR,2022-09-11,1,Head,Cranial,Concussion
Keenan Allen,WR,2022-09-11,7,Thigh,Hamstring,Strain
Alvin Kamara,RB,2022-09-11,1,Chest,Rib,Fracture
Michael Pittman Jr.,WR,2022-09-14,1,Leg,Quad,Strain
Justin Herbert,QB,2022-09-15,0,Chest,Rib,Fracture
Christian Watson,WR,2022-09-18,3,Thigh,Hamstring,Sprain\/Pull Unspecified
Jakobi Meyers,WR,2022-09-18,2,Knee,Unspecified,Strain
Dalton Schultz,TE,2022-09-18,1,Knee,PCL,Sprain
Jerry Jeudy,WR,2022-09-18,0,Chest,Rib,Sprain\/Pull Unspecified
James Conner,RB,2022-09-18,0,Pedal,Ankle,Sprain\/Pull Unspecified
Hunter Renfrow,WR,2022-09-18,2,Head,Cranial,Concussion
Taysom Hill,TE,2022-09-18,1,Chest,Rib,Bruise
Amon-Ra St. Brown,WR,2022-09-25,1,Pedal,Ankle,Sprain\/Pull Unspecified
Garrett Wilson,WR,2022-09-25,0,Chest,Rib,Bruise
Tyler Warren,TE,2022-09-25,3,Shoulder,A\/C Joint,Sprain
D\u0027Andre Swift,RB,2022-09-25,3,Shoulder,A\/C Joint,Sprain
David Montgomery,RB,2022-09-25,1,Pedal,Ankle,Sprain\/Pull Unspecified
Sterling Shepard,WR,2022-09-26,14,Knee,ACL,Tear
Zay Jones,WR,2022-09-28,1,Pedal,Ankle,Sprain\/Pull Unspecified
Tee Higgins,WR,2022-09-29,0,Pedal,Ankle,Sprain\/Pull Unspecified
Tua Tagovailoa,QB,2022-09-29,2,Head,Cranial,Concussion
Jonathan Taylor,RB,2022-10-02,2,Pedal,Ankle,Sprain
Daniel Jones,QB,2022-10-02,0,Pedal,Ankle,Sprain\/Pull Unspecified
Javonte Williams,RB,2022-10-02,13,Knee,ACL,Tear
Javonte Williams,RB,2022-10-02,13,Knee,LCL,Tear
Kyle Pitts,TE,2022-10-02,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Rashod Bateman,WR,2022-10-02,10,Pedal,Lisfranc,Sprain
Justice Hill,RB,2022-10-02,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Jahan Dotson,WR,2022-10-02,5,Thigh,Hamstring,Strain
Dawson Knox,TE,2022-10-02,1,Pedal,Foot,Unspecified
Dawson Knox,TE,2022-10-02,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Treylon Burks,WR,2022-10-02,4,Pedal,Toe,Turf Toe
Jonnu Smith,TE,2022-10-02,1,Pedal,Ankle,Sprain\/Pull Unspecified
Russell Wilson,QB,2022-10-02,0,Shoulder,Unspecified,Unspecified
Jerome Ford,RB,2022-10-02,4,Pedal,Ankle,Sprain
Baker Mayfield,QB,2022-10-09,2,Pedal,Ankle (high),Sprain
Chris Olave,WR,2022-10-09,1,Head,Cranial,Concussion
Pat Freiermuth,TE,2022-10-09,1,Head,Cranial,Concussion
James Conner,RB,2022-10-09,3,Chest,Rib,Sprain\/Pull Unspecified
Darren Waller,TE,2022-10-10,9,Thigh,Hamstring,Strain
Ja\u0027Marr Chase,WR,2022-10-16,4,Inguinal,Hip,Fracture
Ja\u0027Marr Chase,WR,2022-10-16,4,Inguinal,Hip,Tear
Marquise Brown,WR,2022-10-16,5,Pedal,Foot,Fracture
Adam Trautman,TE,2022-10-16,2,Pedal,Ankle,Sprain\/Pull Unspecified
Joshua Palmer,WR,2022-10-17,1,Head,Cranial,Concussion
Russell Wilson,QB,2022-10-17,1,Thigh,Hamstring,Tear
Dyami Brown,WR,2022-10-19,2,Inguinal,Groin,Strain
Brian Thomas Jr.,WR,2022-10-22,1,Head,Cranial,Concussion
Nico Collins,WR,2022-10-23,2,Inguinal,Groin,Pull
Breece Hall,RB,2022-10-23,10,Knee,ACL,Tear
Breece Hall,RB,2022-10-23,10,Knee,Meniscus,Trim
D.K. Metcalf,WR,2022-10-23,0,Knee,Patella,Sprain
Deebo Samuel,WR,2022-10-23,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Chuba Hubbard,RB,2022-10-23,2,Pedal,Ankle,Sprain\/Pull Unspecified
Jauan Jennings,WR,2022-10-23,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Isiah Pacheco,RB,2022-10-23,0,Shoulder,Labrum,Tear
David Njoku,TE,2022-10-23,2,Pedal,Ankle (high),Sprain
Daniel Bellinger,TE,2022-10-23,4,Head,Eye,Blurred Vision
Mark Andrews,TE,2022-10-27,1,Shoulder,Unspecified,Unspecified
Kyler Murray,QB,2022-10-30,2,Thigh,Hamstring,Strain
Christian Watson,WR,2022-10-30,0,Head,Cranial,Concussion
Cooper Kupp,WR,2022-10-30,0,Pedal,Ankle,Sprain\/Pull Unspecified
Josh Allen,QB,2022-11-06,0,Arm,Elbow,Tear
Matthew Stafford,QB,2022-11-06,1,Head,Cranial,Concussion
Romeo Doubs,WR,2022-11-06,4,Pedal,Ankle (high),Sprain
Aaron Jones,RB,2022-11-06,0,Pedal,Ankle,Sprain\/Pull Unspecified
Hunter Renfrow,WR,2022-11-06,5,Abdomen,Muscle,Strain
Mecole Hardman,WR,2022-11-06,7,Inguinal,Groin,Tear
Justin Jefferson,WR,2022-11-13,0,Pedal,Toe,Turf Toe
Jerry Jeudy,WR,2022-11-13,2,Pedal,Ankle,Sprain\/Pull Unspecified
Cooper Kupp,WR,2022-11-13,8,Pedal,Ankle (high),Sprain
JuJu Smith-Schuster,WR,2022-11-13,1,Head,Cranial,Concussion
Dallas Goedert,TE,2022-11-14,5,Shoulder,Unspecified,Unspecified
Sam LaPorta,TE,2022-11-19,1,Knee,Meniscus,Tear
Matthew Stafford,QB,2022-11-20,7,Spine,Spinal Cord,Bruise
Jaylen Warren,RB,2022-11-20,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Kyle Pitts,TE,2022-11-20,6,Knee,MCL,Tear
Wan\u0027Dale Robinson,WR,2022-11-20,7,Knee,ACL,Tear
Justin Fields,QB,2022-11-20,1,Shoulder,A\/C Joint,Separation
Joe Mixon,RB,2022-11-20,2,Head,Cranial,Concussion
Greg Dortch,WR,2022-11-21,2,Hand,Thumb,Sprain
Isaiah Likely,TE,2022-11-25,1,Pedal,Ankle,Sprain\/Pull Unspecified
Aaron Rodgers,QB,2022-11-27,0,Chest,Rib,Bruise
Juwan Johnson,TE,2022-11-27,1,Pedal,Ankle,Sprain\/Pull Unspecified
David Njoku,TE,2022-11-27,1,Knee,Unspecified,Strain
Darnell Mooney,WR,2022-11-27,5,Pedal,Ankle,Ligament Tear
Antonio Gibson,RB,2022-11-27,2,Pedal,Foot,Fracture
Michael Carter,RB,2022-11-27,1,Pedal,Ankle,Sprain\/Pull Unspecified
Najee Harris,RB,2022-11-28,0,Abdomen,Muscle,Sprain\/Pull Unspecified
Jakobi Meyers,WR,2022-12-01,1,Head,Cranial,Concussion
Lamar Jackson,QB,2022-12-04,6,Knee,PCL,Sprain
Trevor Lawrence,QB,2022-12-04,0,Pedal,Toe,Sprain
Patrick Mahomes,QB,2022-12-04,0,Pedal,Foot,Bruise
Kenneth Walker III,RB,2022-12-04,1,Pedal,Ankle,Sprain\/Pull Unspecified
Nico Collins,WR,2022-12-04,5,Pedal,Foot,Unspecified
Courtland Sutton,WR,2022-12-04,1,Thigh,Hamstring,Sprain\/Pull Unspecified
Treylon Burks,WR,2022-12-04,2,Head,Cranial,Concussion
Marcus Mariota,QB,2022-12-04,4,Knee,Unspecified,Strain
Saquon Barkley,RB,2022-12-08,0,Cervical,Neck,Stinger
Tee Higgins,WR,2022-12-08,1,Thigh,Hamstring,Sprain\/Pull Unspecified
D.J. Moore,WR,2022-12-11,0,Knee,Unspecified,Strain
Deebo Samuel,WR,2022-12-11,3,Pedal,Ankle,Sprain
Deebo Samuel,WR,2022-12-11,3,Knee,MCL,Sprain
Daniel Bellinger,TE,2022-12-11,0,Chest,Rib,Bruise
Russell Wilson,QB,2022-12-11,1,Head,Cranial,Concussion
Kyler Murray,QB,2022-12-12,13,Knee,ACL,Tear
Rhamondre Stevenson,RB,2022-12-12,0,Pedal,Ankle,Sprain\/Pull Unspecified
Tyler Lockett,WR,2022-12-15,1,Hand,Finger,Fracture
Jonathan Taylor,RB,2022-12-17,3,Pedal,Ankle (high),Sprain
Jalen Hurts,QB,2022-12-18,2,Shoulder,S\/C Joint,Separation
Antonio Gibson,RB,2022-12-24,2,Knee,MCL,Sprain
Jonnu Smith,TE,2022-12-24,2,Head,Cranial,Concussion
Greg Dulcich,TE,2022-12-25,2,Thigh,Hamstring,Sprain\/Pull Unspecified
Tua Tagovailoa,QB,2022-12-25,3,Head,Cranial,Concussion
Will Dissly,TE,2022-12-25,2,Leg,Fibula,Fracture
DeAndre Hopkins,WR,2022-12-29,2,Knee,Unspecified,Strain
Cade Stover,TE,2022-12-31,0,Back,Lower Lumbar,Muscle Spasms
Justin Herbert,QB,2023-01-01,0,Shoulder,Labrum,Tear
James Conner,RB,2023-01-01,1,Leg,Shin,Bruise
Skyy Moore,WR,2023-01-01,1,Hand,Unspecified,Unspecified
Justin Fields,QB,2023-01-01,1,Inguinal,Hip,Strain
Pat Freiermuth,TE,2023-01-08,0,Knee,MCL,Sprain
Russell Wilson,QB,2023-01-08,0,Knee,Unspecified,Strain
Patrick Mahomes,QB,2023-01-21,0,Pedal,Ankle (high),Sprain
Tony Pollard,RB,2023-01-22,0,Leg,Fibula,Fracture
Tony Pollard,RB,2023-01-22,0,Pedal,Ankle (high),Sprain
Brock Purdy,QB,2023-01-29,0,Arm,Elbow,Tear
Isiah Pacheco,RB,2023-01-29,0,Hand,Finger,Fracture
Patrick Mahomes,QB,2023-02-12,0,Pedal,Ankle (high),Sprain
DeVonta Smith,WR,2023-02-12,0,Pedal,Toe,Sprain
Ty Johnson,RB,2023-04-25,6,Chest,Pectoral,Tear
John Metchie,WR,2023-05-01,0,Thigh,Hamstring,Strain
Aaron Rodgers,QB,2023-05-23,0,Leg,Calf,Strain
Luke Schoonmaker,TE,2023-05-29,0,Pedal,Foot,Plantar Fasciitis
Kenneth Walker III,RB,2023-07-26,0,Inguinal,Groin,Pull
Garrett Wilson,WR,2023-07-26,0,Pedal,Ankle,Sprain\/Pull Unspecified
Joe Burrow,QB,2023-07-27,0,Leg,Calf,Strain
Zach Charbonnet,RB,2023-07-27,0,Shoulder,Unspecified,Unspecified
Tim Patrick,WR,2023-07-31,17,Pedal,Achilles,Tear
Cooper Kupp,WR,2023-08-01,4,Thigh,Hamstring,Strain
Rashid Shaheed,WR,2023-08-04,0,Inguinal,Groin,Pull
Jerome Ford,RB,2023-08-07,0,Thigh,Hamstring,Sprain\/Pull Unspecified
Jaylen Waddle,WR,2023-08-09,0,Chest,Sternum,Bruise
George Kittle,TE,2023-08-09,0,Inguinal,Groin,Pull
Miles Sanders,RB,2023-08-10,0,Inguinal,Groin,Pull
Kendre Miller,RB,2023-08-13,0,Knee,Patella,Sprain
Jordan Addison,WR,2023-08-14,0,Head,Cranial,Concussion
Mike Gesicki,TE,2023-08-14,0,Shoulder,Unspecified,Dislocation
Taysom Hill,TE,2023-08-15,0,Abdomen,Muscle,Strain
Jameson Williams,WR,2023-08-16,0,Thigh,Hamstring,Strain
Treylon Burks,WR,2023-08-16,0,Knee,LCL,Sprain
Tyquan Thornton,WR,2023-08-17,4,Shoulder,Unspecified,Unspecified
Jaxon Smith-Njigba,WR,2023-08-19,0,Hand,Wrist,Fracture
De\u0027Von Achane,RB,2023-08-19,1,Shoulder,A\/C Joint,Sprain
Terry McLaurin,WR,2023-08-21,0,Pedal,Toe,Turf Toe
Khalil Shakir,WR,2023-08-22,0,Chest,Rib,Bruise
Chigoziem Okonkwo,TE,2023-08-22,0,Inguinal,Hip,Bruise
Jerry Jeudy,WR,2023-08-24,1,Thigh,Hamstring,Strain
Jordan Mason,RB,2023-08-25,0,Pedal,Foot,Sprain
