name,position,team,AVG,source,format,drafts,season
Todd Gurley,RB,LAR,1.5,fantasyfootballcalculator,ppr,2494,2018
David Johnson,RB,ARI,2.8,fantasyfootballcalculator,ppr,2494,2018
LeVeon Bell,RB,PIT,3.0,fantasyfootballcalculator,ppr,2494,2018
Antonio Brown,WR,PIT,4.7,fantasyfootballcalculator,ppr,2494,2018
Ezekiel Elliott,RB,DAL,5.3,fantasyfootballcalculator,ppr,2494,2018
Alvin Kamara,RB,NO,6.1,fantasyfootballcalculator,ppr,2494,2018
Saquon Barkley,RB,NYG,6.5,fantasyfootballcalculator,ppr,2494,2018
DeAndre Hopkins,WR,HOU,8.8,fantasyfootballcalculator,ppr,2494,2018
Melvin Gordon III,RB,LAC,9.1,fantasyfootballcalculator,ppr,2494,2018
Leonard Fournette,RB,JAX,9.4,fantasyfootballcalculator,ppr,2494,2018
Odell Beckham Jr.,WR,NYG,11.2,fantasyfootballcalculator,ppr,2494,2018
Kareem Hunt,RB,KC,11.4,fantasyfootballcalculator,ppr,2494,2018
Christian McCaffrey,RB,CAR,12.7,fantasyfootballcalculator,ppr,2494,2018
Julio Jones,WR,ATL,14.2,fantasyfootballcalculator,ppr,2494,2018
Dalvin Cook,RB,MIN,15.6,fantasyfootballcalculator,ppr,2494,2018
Michael Thomas,WR,NO,16.0,fantasyfootballcalculator,ppr,2494,2018
Keenan Allen,WR,LAC,17.2,fantasyfootballcalculator,ppr,2494,2018
Davante Adams,WR,GB,18.2,fantasyfootballcalculator,ppr,2494,2018
Devonta Freeman,RB,ATL,19.1,fantasyfootballcalculator,ppr,2494,2018
Jordan Howard,RB,CHI,20.0,fantasyfootballcalculator,ppr,2494,2018
Rob Gronkowski,TE,NE,21.0,fantasyfootballcalculator,ppr,2494,2018
A.J. Green,WR,CIN,21.3,fantasyfootballcalculator,ppr,2494,2018
Joe Mixon,RB,CIN,23.3,fantasyfootballcalculator,ppr,2494,2018
Tyreek Hill,WR,KC,23.7,fantasyfootballcalculator,ppr,2494,2018
Mike Evans,WR,TB,25.5,fantasyfootballcalculator,ppr,2494,2018
Stefon Diggs,WR,MIN,26.0,fantasyfootballcalculator,ppr,2494,2018
T.Y. Hilton,WR,IND,27.4,fantasyfootballcalculator,ppr,2494,2018
Travis Kelce,TE,KC,28.5,fantasyfootballcalculator,ppr,2494,2018
Royce Freeman,RB,DEN,29.0,fantasyfootballcalculator,ppr,2494,2018
LeSean McCoy,RB,BUF,29.9,fantasyfootballcalculator,ppr,2494,2018
Aaron Rodgers,QB,GB,31.4,fantasyfootballcalculator,ppr,2494,2018
Amari Cooper,WR,DAL,31.4,fantasyfootballcalculator,ppr,2494,2018
Alex Collins,RB,BAL,31.5,fantasyfootballcalculator,ppr,2494,2018
Kenyan Drake,RB,MIA,32.8,fantasyfootballcalculator,ppr,2494,2018
Adam Thielen,WR,MIN,33.5,fantasyfootballcalculator,ppr,2494,2018
Jerick McKinnon,RB,SF,34.3,fantasyfootballcalculator,ppr,2494,2018
Larry Fitzgerald,WR,ARI,34.9,fantasyfootballcalculator,ppr,2494,2018
Doug Baldwin,WR,SEA,37.6,fantasyfootballcalculator,ppr,2494,2018
Lamar Miller,RB,HOU,38.0,fantasyfootballcalculator,ppr,2494,2018
Zach Ertz,TE,PHI,39.1,fantasyfootballcalculator,ppr,2494,2018
Jarvis Landry,WR,CLE,39.4,fantasyfootballcalculator,ppr,2494,2018
JuJu Smith-Schuster,WR,PIT,41.2,fantasyfootballcalculator,ppr,2494,2018
Chris Hogan,WR,NE,42.1,fantasyfootballcalculator,ppr,2494,2018
Derrick Henry,RB,TEN,42.1,fantasyfootballcalculator,ppr,2494,2018
Josh Gordon,WR,NE,44.1,fantasyfootballcalculator,ppr,2494,2018
Mark Ingram II,RB,NO,45.9,fantasyfootballcalculator,ppr,2494,2018
Deshaun Watson,QB,HOU,46.5,fantasyfootballcalculator,ppr,2494,2018
Jay Ajayi,RB,PHI,46.6,fantasyfootballcalculator,ppr,2494,2018
Golden Tate,WR,PHI,46.7,fantasyfootballcalculator,ppr,2494,2018
Demaryius Thomas,WR,HOU,47.0,fantasyfootballcalculator,ppr,2494,2018
Marquise Goodwin,WR,SF,48.9,fantasyfootballcalculator,ppr,2494,2018
Jimmy Graham,TE,GB,49.3,fantasyfootballcalculator,ppr,2494,2018
Tom Brady,QB,NE,50.3,fantasyfootballcalculator,ppr,2494,2018
Brandin Cooks,WR,LAR,52.5,fantasyfootballcalculator,ppr,2494,2018
Marshawn Lynch,RB,LV,52.6,fantasyfootballcalculator,ppr,2494,2018
Carlos Hyde,RB,JAX,53.9,fantasyfootballcalculator,ppr,2494,2018
Allen Robinson II,WR,CHI,55.2,fantasyfootballcalculator,ppr,2494,2018
Dion Lewis,RB,TEN,55.5,fantasyfootballcalculator,ppr,2494,2018
Greg Olsen,TE,CAR,57.5,fantasyfootballcalculator,ppr,2494,2018
Emmanuel Sanders,WR,DEN,57.6,fantasyfootballcalculator,ppr,2494,2018
Jamaal Williams,RB,GB,59.7,fantasyfootballcalculator,ppr,2494,2018
Russell Wilson,QB,SEA,61.0,fantasyfootballcalculator,ppr,2494,2018
Corey Davis,WR,TEN,61.1,fantasyfootballcalculator,ppr,2494,2018
Marvin Jones Jr.,WR,DET,62.3,fantasyfootballcalculator,ppr,2494,2018
Kerryon Johnson,RB,DET,62.5,fantasyfootballcalculator,ppr,2494,2018
Rex Burkhead,RB,NE,64.0,fantasyfootballcalculator,ppr,2494,2018
Trey Burton,TE,CHI,64.6,fantasyfootballcalculator,ppr,2494,2018
Julian Edelman,WR,NE,65.5,fantasyfootballcalculator,ppr,2494,2018
Chris Carson,RB,SEA,66.7,fantasyfootballcalculator,ppr,2494,2018
Drew Brees,QB,NO,66.9,fantasyfootballcalculator,ppr,2494,2018
Peyton Barber,RB,TB,69.0,fantasyfootballcalculator,ppr,2494,2018
Michael Crabtree,WR,BAL,70.4,fantasyfootballcalculator,ppr,2494,2018
Evan Engram,TE,NYG,70.5,fantasyfootballcalculator,ppr,2494,2018
Cam Newton,QB,CAR,71.0,fantasyfootballcalculator,ppr,2494,2018
Will Fuller,WR,HOU,73.0,fantasyfootballcalculator,ppr,2494,2018
Chris Thompson,RB,WAS,74.1,fantasyfootballcalculator,ppr,2494,2018
Kyle Rudolph,TE,MIN,76.1,fantasyfootballcalculator,ppr,2494,2018
Tevin Coleman,RB,ATL,76.5,fantasyfootballcalculator,ppr,2494,2018
Delanie Walker,TE,TEN,77.6,fantasyfootballcalculator,ppr,2494,2018
Cooper Kupp,WR,LAR,77.8,fantasyfootballcalculator,ppr,2494,2018
Jamison Crowder,WR,WAS,79.5,fantasyfootballcalculator,ppr,2494,2018
Adrian Peterson,RB,WAS,81.1,fantasyfootballcalculator,ppr,2494,2018
Kirk Cousins,QB,MIN,81.7,fantasyfootballcalculator,ppr,2494,2018
Alshon Jeffery,WR,PHI,82.8,fantasyfootballcalculator,ppr,2494,2018
Sony Michel,RB,NE,83.5,fantasyfootballcalculator,ppr,2494,2018
Carson Wentz,QB,PHI,84.5,fantasyfootballcalculator,ppr,2494,2018
Robbie Chosen,WR,NYJ,84.8,fantasyfootballcalculator,ppr,2494,2018
Tarik Cohen,RB,CHI,85.2,fantasyfootballcalculator,ppr,2494,2018
Rashaad Penny,RB,SEA,87.1,fantasyfootballcalculator,ppr,2494,2018
Devin Funchess,WR,CAR,87.4,fantasyfootballcalculator,ppr,2494,2018
Andrew Luck,QB,IND,87.6,fantasyfootballcalculator,ppr,2494,2018
Jordan Reed,TE,WAS,88.3,fantasyfootballcalculator,ppr,2494,2018
Isaiah Crowell,RB,NYJ,89.6,fantasyfootballcalculator,ppr,2494,2018
Randall Cobb,WR,GB,90.9,fantasyfootballcalculator,ppr,2494,2018
Nelson Agholor,WR,PHI,92.8,fantasyfootballcalculator,ppr,2494,2018
Duke Johnson,RB,CLE,93.5,fantasyfootballcalculator,ppr,2494,2018
Sammy Watkins,WR,KC,93.8,fantasyfootballcalculator,ppr,2494,2018
Marlon Mack,RB,IND,94.3,fantasyfootballcalculator,ppr,2494,2018
Jacksonville Defense,DST,JAX,94.5,fantasyfootballcalculator,ppr,2494,2018
Jimmy Garoppolo,QB,SF,96.7,fantasyfootballcalculator,ppr,2494,2018
Aaron Jones Sr.,RB,GB,97.7,fantasyfootballcalculator,ppr,2494,2018
Jordy Nelson,WR,LV,98.2,fantasyfootballcalculator,ppr,2494,2018
David Njoku,TE,CLE,98.4,fantasyfootballcalculator,ppr,2494,2018
James White,RB,NE,99.5,fantasyfootballcalculator,ppr,2494,2018
Matthew Stafford,QB,DET,100.3,fantasyfootballcalculator,ppr,2494,2018
Mike Williams,WR,LAC,102.7,fantasyfootballcalculator,ppr,2494,2018
LA Rams Defense,DST,LAR,103.5,fantasyfootballcalculator,ppr,2494,2018
Robert Woods,WR,LAR,103.7,fantasyfootballcalculator,ppr,2494,2018
Sterling Shepard,WR,NYG,106.1,fantasyfootballcalculator,ppr,2494,2018
Philip Rivers,QB,LAC,107.3,fantasyfootballcalculator,ppr,2494,2018
Matt Ryan,QB,ATL,108.1,fantasyfootballcalculator,ppr,2494,2018
Kenny Stills,WR,MIA,108.1,fantasyfootballcalculator,ppr,2494,2018
Pierre Garcon,WR,SF,108.2,fantasyfootballcalculator,ppr,2494,2018
Minnesota Defense,DST,MIN,109.3,fantasyfootballcalculator,ppr,2494,2018
Ronald Jones,RB,TB,111.4,fantasyfootballcalculator,ppr,2494,2018
