name,position,team,AVG,source,format,drafts,season
LeSean McCoy,RB,PHI,2.0,fantasyfootballcalculator,ppr,635,2014
Jamaal Charles,RB,KC,2.5,fantasyfootballcalculator,ppr,635,2014
Calvin Johnson,WR,DET,4.1,fantasyfootballcalculator,ppr,635,2014
Matt Forte,RB,CHI,4.2,fantasyfootballcalculator,ppr,635,2014
Adrian Peterson,RB,MIN,5.3,fantasyfootballcalculator,ppr,635,2014
Eddie Lacy,RB,GB,6.2,fantasyfootballcalculator,ppr,635,2014
Demaryius Thomas,WR,DEN,6.7,fantasyfootballcalculator,ppr,635,2014
Jimmy Graham,TE,NO,7.8,fantasyfootballcalculator,ppr,635,2014
Dez Bryant,WR,DAL,9.1,fantasyfootballcalculator,ppr,635,2014
Montee Ball,RB,DEN,10.4,fantasyfootballcalculator,ppr,635,2014
Peyton Manning,QB,DEN,10.4,fantasyfootballcalculator,ppr,635,2014
A.J. Green,WR,CIN,11.5,fantasyfootballcalculator,ppr,635,2014
Julio Jones,WR,ATL,13.3,fantasyfootballcalculator,ppr,635,2014
Brandon Marshall,WR,CHI,13.9,fantasyfootballcalculator,ppr,635,2014
DeMarco Murray,RB,DAL,14.2,fantasyfootballcalculator,ppr,635,2014
Marshawn Lynch,RB,SEA,15.9,fantasyfootballcalculator,ppr,635,2014
Giovani Bernard,RB,CIN,16.7,fantasyfootballcalculator,ppr,635,2014
Jordy Nelson,WR,GB,17.8,fantasyfootballcalculator,ppr,635,2014
Antonio Brown,WR,PIT,18.4,fantasyfootballcalculator,ppr,635,2014
Drew Brees,QB,NO,19.1,fantasyfootballcalculator,ppr,635,2014
Doug Martin,RB,TB,20.9,fantasyfootballcalculator,ppr,635,2014
Alshon Jeffery,WR,CHI,21.9,fantasyfootballcalculator,ppr,635,2014
Aaron Rodgers,QB,GB,22.2,fantasyfootballcalculator,ppr,635,2014
Andre Ellington,RB,ARI,22.5,fantasyfootballcalculator,ppr,635,2014
Randall Cobb,WR,GB,25.0,fantasyfootballcalculator,ppr,635,2014
Arian Foster,RB,HOU,25.8,fantasyfootballcalculator,ppr,635,2014
Julius Thomas,TE,DEN,26.2,fantasyfootballcalculator,ppr,635,2014
