name,position,team,AVG,source,format,drafts,season
Adrian Peterson,RB,MIN,1.8,fantasyfootballcalculator,ppr,844,2015
Antonio Brown,WR,PIT,2.5,fantasyfootballcalculator,ppr,844,2015
LeVeon Bell,RB,PIT,3.1,fantasyfootballcalculator,ppr,844,2015
Eddie Lacy,RB,GB,4.0,fantasyfootballcalculator,ppr,844,2015
Jamaal Charles,RB,KC,4.5,fantasyfootballcalculator,ppr,844,2015
Julio Jones,WR,ATL,6.2,fantasyfootballcalculator,ppr,844,2015
Dez Bryant,WR,DAL,7.6,fantasyfootballcalculator,ppr,844,2015
Marshawn Lynch,RB,SEA,8.6,fantasyfootballcalculator,ppr,844,2015
Demaryius Thomas,WR,DEN,9.1,fantasyfootballcalculator,ppr,844,2015
Rob Gronkowski,TE,NE,10.3,fantasyfootballcalculator,ppr,844,2015
CJ Anderson,RB,DEN,10.7,fantasyfootballcalculator,ppr,844,2015
Odell Beckham Jr.,WR,NYG,11.4,fantasyfootballcalculator,ppr,844,2015
Calvin Johnson,WR,DET,13.1,fantasyfootballcalculator,ppr,844,2015
Matt Forte,RB,CHI,13.7,fantasyfootballcalculator,ppr,844,2015
Jeremy Hill,RB,CIN,14.4,fantasyfootballcalculator,ppr,844,2015
Randall Cobb,WR,GB,15.9,fantasyfootballcalculator,ppr,844,2015
A.J. Green,WR,CIN,16.7,fantasyfootballcalculator,ppr,844,2015
Andrew Luck,QB,IND,16.9,fantasyfootballcalculator,ppr,844,2015
DeMarco Murray,RB,PHI,17.6,fantasyfootballcalculator,ppr,844,2015
Justin Forsett,RB,BAL,19.3,fantasyfootballcalculator,ppr,844,2015
Brandin Cooks,WR,NO,20.6,fantasyfootballcalculator,ppr,844,2015
Lamar Miller,RB,MIA,22.3,fantasyfootballcalculator,ppr,844,2015
T.Y. Hilton,WR,IND,22.8,fantasyfootballcalculator,ppr,844,2015
Jordan Matthews,WR,PHI,24.4,fantasyfootballcalculator,ppr,844,2015
LeSean McCoy,RB,BUF,24.4,fantasyfootballcalculator,ppr,844,2015
Alshon Jeffery,WR,CHI,26.1,fantasyfootballcalculator,ppr,844,2015
Aaron Rodgers,QB,GB,27.1,fantasyfootballcalculator,ppr,844,2015
Frank Gore,RB,IND,27.7,fantasyfootballcalculator,ppr,844,2015
DeAndre Hopkins,WR,HOU,28.7,fantasyfootballcalculator,ppr,844,2015
Mike Evans,WR,TB,30.0,fantasyfootballcalculator,ppr,844,2015
Mark Ingram II,RB,NO,31.0,fantasyfootballcalculator,ppr,844,2015
Emmanuel Sanders,WR,DEN,31.9,fantasyfootballcalculator,ppr,844,2015
Latavius Murray,RB,LV,33.2,fantasyfootballcalculator,ppr,844,2015
Jimmy Graham,TE,SEA,33.5,fantasyfootballcalculator,ppr,844,2015
Davante Adams,WR,GB,34.6,fantasyfootballcalculator,ppr,844,2015
Jarvis Landry,WR,MIA,36.6,fantasyfootballcalculator,ppr,844,2015
Arian Foster,RB,HOU,37.5,fantasyfootballcalculator,ppr,844,2015
Andre Johnson,WR,IND,37.7,fantasyfootballcalculator,ppr,844,2015
Doug Martin,RB,TB,38.0,fantasyfootballcalculator,ppr,844,2015
Jeremy Maclin,WR,KC,38.8,fantasyfootballcalculator,ppr,844,2015
Amari Cooper,WR,LV,40.8,fantasyfootballcalculator,ppr,844,2015
Ameer Abdullah,RB,DET,41.5,fantasyfootballcalculator,ppr,844,2015
Julian Edelman,WR,NE,41.9,fantasyfootballcalculator,ppr,844,2015
Golden Tate,WR,DET,43.5,fantasyfootballcalculator,ppr,844,2015
Andre Ellington,RB,ARI,43.7,fantasyfootballcalculator,ppr,844,2015
Carlos Hyde,RB,SF,44.7,fantasyfootballcalculator,ppr,844,2015
Greg Olsen,TE,CAR,45.1,fantasyfootballcalculator,ppr,844,2015
Chris Ivory,RB,NYJ,47.6,fantasyfootballcalculator,ppr,844,2015
Alfred Morris,RB,WAS,48.2,fantasyfootballcalculator,ppr,844,2015
Keenan Allen,WR,LAC,48.7,fantasyfootballcalculator,ppr,844,2015
Brandon Marshall,WR,NYJ,50.5,fantasyfootballcalculator,ppr,844,2015
Travis Kelce,TE,KC,50.6,fantasyfootballcalculator,ppr,844,2015
Melvin Gordon III,RB,LAC,51.8,fantasyfootballcalculator,ppr,844,2015
Jonathan Stewart,RB,CAR,53.0,fantasyfootballcalculator,ppr,844,2015
Allen Robinson II,WR,JAX,53.5,fantasyfootballcalculator,ppr,844,2015
Peyton Manning,QB,DEN,54.9,fantasyfootballcalculator,ppr,844,2015
Joseph Randle,RB,DAL,56.6,fantasyfootballcalculator,ppr,844,2015
Nelson Agholor,WR,PHI,56.6,fantasyfootballcalculator,ppr,844,2015
Drew Brees,QB,NO,56.8,fantasyfootballcalculator,ppr,844,2015
C.J. Spiller,RB,NO,57.9,fantasyfootballcalculator,ppr,844,2015
Todd Gurley,RB,LAR,60.2,fantasyfootballcalculator,ppr,844,2015
Martellus Bennett,TE,CHI,60.3,fantasyfootballcalculator,ppr,844,2015
Charles Johnson,WR,MIN,61.6,fantasyfootballcalculator,ppr,844,2015
Sammy Watkins,WR,,62.5,fantasyfootballcalculator,ppr,844,2015
TJ Yeldon,RB,JAX,63.1,fantasyfootballcalculator,ppr,844,2015
Ben Roethlisberger,QB,PIT,63.8,fantasyfootballcalculator,ppr,844,2015
John Brown,WR,ARI,64.3,fantasyfootballcalculator,ppr,844,2015
Tom Brady,QB,NE,67.0,fantasyfootballcalculator,ppr,844,2015
Martavis Bryant,WR,PIT,67.2,fantasyfootballcalculator,ppr,844,2015
LeGarrette Blount,RB,NE,68.5,fantasyfootballcalculator,ppr,844,2015
Russell Wilson,QB,SEA,68.7,fantasyfootballcalculator,ppr,844,2015
Danny Woodhead,RB,LAC,69.0,fantasyfootballcalculator,ppr,844,2015
Vincent Jackson,WR,TB,70.1,fantasyfootballcalculator,ppr,844,2015
Steve Smith,WR,BAL,72.1,fantasyfootballcalculator,ppr,844,2015
DeSean Jackson,WR,WAS,74.0,fantasyfootballcalculator,ppr,844,2015
Giovani Bernard,RB,CIN,75.5,fantasyfootballcalculator,ppr,844,2015
Jordan Cameron,TE,MIA,76.9,fantasyfootballcalculator,ppr,844,2015
Shane Vereen,RB,NYG,77.9,fantasyfootballcalculator,ppr,844,2015
Matt Ryan,QB,ATL,78.2,fantasyfootballcalculator,ppr,844,2015
Ryan Mathews,RB,PHI,78.9,fantasyfootballcalculator,ppr,844,2015
Joique Bell,RB,DET,80.5,fantasyfootballcalculator,ppr,844,2015
Tony Romo,QB,DAL,80.8,fantasyfootballcalculator,ppr,844,2015
Rashad Jennings,RB,NYG,81.7,fantasyfootballcalculator,ppr,844,2015
Sam Bradford,QB,PHI,82.1,fantasyfootballcalculator,ppr,844,2015
Jason Witten,TE,DAL,83.7,fantasyfootballcalculator,ppr,844,2015
Larry Fitzgerald,WR,ARI,84.1,fantasyfootballcalculator,ppr,844,2015
Eddie Royal,WR,CHI,84.6,fantasyfootballcalculator,ppr,844,2015
Darren McFadden,RB,DAL,84.6,fantasyfootballcalculator,ppr,844,2015
Alfred Blue,RB,HOU,86.4,fantasyfootballcalculator,ppr,844,2015
Kendall Wright,WR,TEN,88.0,fantasyfootballcalculator,ppr,844,2015
Tevin Coleman,RB,ATL,88.9,fantasyfootballcalculator,ppr,844,2015
Ryan Tannehill,QB,MIA,89.1,fantasyfootballcalculator,ppr,844,2015
