name,position,team,AVG,source,format,drafts,season
Justin Jefferson,WR,MIN,1.4,fantasyfootballcalculator,ppr,3146,2023
Christian McCaffrey,RB,SF,2.4,fantasyfootballcalculator,ppr,3146,2023
Ja'Marr Chase,WR,CIN,2.4,fantasyfootballcalculator,ppr,3146,2023
Tyreek Hill,WR,MIA,4.4,fantasyfootballcalculator,ppr,3146,2023
Austin Ekeler,RB,LAC,5.0,fantasyfootballcalculator,ppr,3146,2023
Travis Kelce,TE,KC,5.9,fantasyfootballcalculator,ppr,3146,2023
Cooper Kupp,WR,LAR,7.0,fantasyfootballcalculator,ppr,3146,2023
Stefon Diggs,WR,BUF,8.5,fantasyfootballcalculator,ppr,3146,2023
Bijan Robinson,RB,ATL,8.8,fantasyfootballcalculator,ppr,3146,2023
Saquon Barkley,RB,NYG,9.0,fantasyfootballcalculator,ppr,3146,2023
CeeDee Lamb,WR,DAL,11.0,fantasyfootballcalculator,ppr,3146,2023
A.J. Brown,WR,PHI,12.5,fantasyfootballcalculator,ppr,3146,2023
Nick Chubb,RB,CLE,12.5,fantasyfootballcalculator,ppr,3146,2023
Amon-Ra St. Brown,WR,DET,13.2,fantasyfootballcalculator,ppr,3146,2023
Tony Pollard,RB,DAL,15.2,fantasyfootballcalculator,ppr,3146,2023
Garrett Wilson,WR,NYJ,15.6,fantasyfootballcalculator,ppr,3146,2023
Davante Adams,WR,LV,15.6,fantasyfootballcalculator,ppr,3146,2023
Derrick Henry,RB,TEN,17.9,fantasyfootballcalculator,ppr,3146,2023
Patrick Mahomes,QB,KC,19.6,fantasyfootballcalculator,ppr,3146,2023
Jaylen Waddle,WR,MIA,19.9,fantasyfootballcalculator,ppr,3146,2023
Chris Olave,WR,NO,20.4,fantasyfootballcalculator,ppr,3146,2023
Josh Jacobs,RB,LV,21.9,fantasyfootballcalculator,ppr,3146,2023
DeVonta Smith,WR,PHI,23.3,fantasyfootballcalculator,ppr,3146,2023
Rhamondre Stevenson,RB,NE,23.4,fantasyfootballcalculator,ppr,3146,2023
Jonathan Taylor,RB,IND,25.9,fantasyfootballcalculator,ppr,3146,2023
Josh Allen,QB,BUF,26.6,fantasyfootballcalculator,ppr,3146,2023
Tee Higgins,WR,CIN,26.6,fantasyfootballcalculator,ppr,3146,2023
Jalen Hurts,QB,PHI,26.9,fantasyfootballcalculator,ppr,3146,2023
Mark Andrews,TE,BAL,28.9,fantasyfootballcalculator,ppr,3146,2023
Calvin Ridley,WR,JAX,29.2,fantasyfootballcalculator,ppr,3146,2023
Keenan Allen,WR,LAC,29.2,fantasyfootballcalculator,ppr,3146,2023
Najee Harris,RB,PIT,30.4,fantasyfootballcalculator,ppr,3146,2023
DK Metcalf,WR,SEA,30.8,fantasyfootballcalculator,ppr,3146,2023
Joe Mixon,RB,CIN,31.4,fantasyfootballcalculator,ppr,3146,2023
