name,position,MFL,Fantrax,RTSports,FFC,Sleeper,AVG
San Francisco 49ers,DST,,,164,,126,145.0
Indianapolis Colts,DST,,,156,,134,145.0
Daniel Carlson,K,,,168,,128,148.0
Jarvis Landry,WR,,,146,,150,148.0
Jamaal Williams,RB,,,133,,164,148.5
Trevor Lawrence,QB,,,131,,167,149.0
Jameis Winston,QB,,,139,,162,150.5
Isaiah Spiller,RB,,,171,,133,152.0
DJ Chark Jr.,WR,,,136,,174,155.0
Tyler Bass,K,,,182,,129,155.5
Romeo Doubs,WR,,,157,,154,155.5
Irv Smith Jr.,TE,,,135,,177,156.0
Russell Gage,WR,,,140,,173,156.5
Jahan Dotson,WR,,,147,,166,156.5
J.D. McKissic,RB,,,122,,195,158.5
Albert Okwuegbunam,TE,,,178,,140,159.0
Los Angeles Rams,DST,,,188,,131,159.5
Harrison Butker,K,,,199,,127,163.0
David Njoku,TE,,,162,,165,163.5
Matt Gay,K,,,185,,143,164.0
Zamir White,RB,,,145,,184,164.5
DeVante Parker,WR,,,170,,160,165.0
Matt Ryan,QB,,,143,,188,165.5
Jakobi Meyers,WR,,,134,,198,166.0
Robert Tonyan,TE,,,148,,185,166.5
Isaiah McKenzie,WR,,,152,,181,166.5
New Orleans Saints,DST,,,197,,138,167.5
Rondale Moore,WR,,,163,,176,169.5
Mark Ingram II,RB,,,177,,168,172.5
Noah Fant,TE,,,159,,203,181.0
Matt Prater,K,,,219,,144,181.5
Mac Jones,QB,,,173,,191,182.0
Kenny Golladay,WR,,,184,,180,182.0
Dallas Cowboys,DST,,,209,,157,183.0
Joshua Palmer,WR,,,161,,207,184.0
Mecole Hardman,WR,,,179,,192,185.5
Tyler Higbee,TE,,,204,,171,187.5
Nico Collins,WR,,,165,,212,188.5
Denver Broncos,DST,,,195,,182,188.5
Los Angeles Chargers,DST,,,225,,156,190.5
Baker Mayfield,QB,,,176,,205,190.5
Deshaun Watson,QB,,,183,,199,191.0
Mike Davis,RB,,,180,,204,192.0
Ryan Tannehill,QB,,,166,,219,192.5
D'Onta Foreman,RB,,,192,,193,192.5
Brandon McManus,K,,,234,,152,193.0
Jalen Tolbert,WR,,,186,,200,193.0
New England Patriots,DST,,,220,,169,194.5
Kenny Pickett,QB,,,181,,208,194.5
Alec Pierce,WR,,,189,,202,195.5
Christian Watson,WR,,,233,,161,197.0
Darrel Williams,RB,,,172,,223,197.5
Pittsburgh Steelers,DST,,,246,,151,198.5
Gerald Everett,TE,,,202,,196,199.0
Jameson Williams,WR,,,212,,187,199.5
Green Bay Packers,DST,,,217,,183,200.0
Tyrion Davis-Price,RB,,,200,,201,200.5
Zach Wilson,QB,,,154,,248,201.0
Baltimore Ravens,DST,,,245,,158,201.5
Jared Goff,QB,,,158,,245,201.5
Tennessee Titans,DST,,,270,,135,202.5
Daniel Jones,QB,,,175,,231,203.0
Chuba Hubbard,RB,,,218,,189,203.5
Odell Beckham Jr.,WR,,,198,,211,204.5
Wan'Dale Robinson,WR,,,203,,210,206.5
Younghoe Koo,K,,,261,,153,207.0
Marlon Mack,RB,,,235,,179,207.0
Wil Lutz,K,,,229,,186,207.5
Jeff Wilson Jr.,RB,,,191,,226,208.5
K.J. Osborn,WR,,,205,,215,210.0
Sammy Watkins,WR,,,236,,190,213.0
Evan Engram,TE,,,206,,220,213.0
Parris Campbell,WR,,,193,,235,214.0
Hayden Hurst,TE,,,215,,217,216.0
Rodrigo Blankenship,K,,,262,,172,217.0
Nick Folk,K,,,259,,175,217.0
Eno Benjamin,RB,,,208,,227,217.5
Mitch Trubisky,QB,,,155,,,155.0
Isiah Pacheco,RB,,,,,155,155.0
Miami Dolphins,DST,,,224,,214,219.0
KJ Hamler,WR,,,231,,209,220.0
Kenyan Drake,RB,,,207,,234,220.5
Davis Mills,QB,,,160,,,160.0
Ronald Jones II,RB,,,272,,170,221.0
Dontrell Hilliard,RB,,,214,,228,221.0
Austin Hooper,TE,,,227,,218,222.5
Isaiah Likely,TE,,,221,,225,223.0
Ryan Succop,K,,,241,,206,223.5
Carson Wentz,QB,,,167,,,167.0
Marcus Mariota,QB,,,169,,,169.0
Philadelphia Eagles,DST,,,257,,194,225.5
Kansas City Chiefs,DST,,,222,,232,227.0
Cleveland Browns,DST,,,242,,213,227.5
Minnesota Vikings,DST,,,226,,229,227.5
Robbie Anderson,WR,,,216,,243,229.5
Washington Commanders,DST,,,,,178,178.0
Marvin Jones Jr.,WR,,,223,,240,231.5
Dustin Hopkins,K,,,240,,224,232.0
Jacoby Brissett,QB,,,187,,,187.0
Geno Smith,QB,,,190,,,190.0
Gus Edwards,RB,,,253,,222,237.5
Taysom Hill,TE,,,238,,237,237.5
Jimmy Garoppolo,QB,,,194,,,194.0
Logan Thomas,TE,,,196,,,196.0
Cameron Brate,TE,,,239,,239,239.0
Robbie Gould,K,,,,,197,197.0
Ameer Abdullah,RB,,,201,,,201.0
Desmond Ridder,QB,,,210,,,210.0
Jerick McKinnon,RB,,,211,,,211.0
Myles Gaskin,RB,,,213,,,213.0
Seattle Seahawks,DST,,,,,216,216.0
Sony Michel,RB,,,260,,238,249.0
Hassan Haskins,RB,,,278,,221,249.5
Ke'Shawn Vaughn,RB,,,228,,,228.0
David Bell,WR,,,266,,244,255.0
Kyle Rudolph,TE,,,,,230,230.0
Greg Joseph,K,,,230,,,230.0
Joshua Kelley,RB,,,232,,,232.0
Las Vegas Raiders,DST,,,,,233,233.0
Donovan Peoples-Jones,WR,,,275,,241,258.0
Van Jefferson,WR,,,271,,246,258.5
Randall Cobb,WR,,,,,236,236.0
Corey Davis,WR,,,237,,,237.0
A.J. Green,WR,,,276,,247,261.5
Boston Scott,RB,,,243,,,243.0
D'Ernest Johnson,RB,,,244,,,244.0
Mo Alie-Cox,TE,,,247,,,247.0
Matt Breida,RB,,,248,,,248.0
Devontae Booker,RB,,,,,249,249.0
Laviska Shenault Jr.,WR,,,249,,,249.0
Rex Burkhead,RB,,,250,,,250.0
Jacob Harris,TE,,,,,250,250.0
Paxton Lynch,QB,,,,,251,251.0
Trey Sermon,RB,,,251,,,251.0
Alec Ingold,RB,,,,,252,252.0
Marquez Callaway,WR,,,252,,,252.0
Equanimeous St. Brown,WR,,,,,253,253.0
Malik Williams,RB,,,,,254,254.0
Chris Evans,RB,,,254,,,254.0
Temuchin Hodges,TE,,,,,255,255.0
Malik Willis,QB,,,255,,,255.0
Jake Elliott,K,,,256,,,256.0
Jason Moore Jr.,WR,,,,,256,256.0
Bruce Anderson III,RB,,,,,257,257.0
Trey Burton,TE,,,,,258,258.0
Samaje Perine,RB,,,258,,,258.0
Trevon Wesco,TE,,,,,259,259.0
Danny Davis,WR,,,,,260,260.0
Kai Locksley,QB,,,,,261,261.0
Jake Burt,TE,,,,,262,262.0
Sam Darnold,QB,,,,,263,263.0
Brevin Jordan,TE,,,263,,,263.0
Teagan Quitoriano,TE,,,,,264,264.0
Cade York,K,,,264,,,264.0
Chicago Bears,DST,,,265,,,265.0
Josh Love,QB,,,,,265,265.0
Marquise Goodwin,WR,,,,,266,266.0
Keke Coutee,WR,,,,,267,267.0
Kyle Philips,WR,,,267,,,267.0
Kendrick Bourne,WR,,,268,,,268.0
Stephen Carr,RB,,,,,268,268.0
Damiere Byrd,WR,,,,,269,269.0
Curtis Samuel,WR,,,269,,,269.0
C.J. Ham,RB,,,,,270,270.0
Luis Perez,QB,,,,,271,271.0
Alex Smith,QB,,,,,272,272.0
Joe Flacco,QB,,,,,273,273.0
Jason Sanders,K,,,273,,,273.0
Derek Watt,RB,,,,,274,274.0
Zay Jones,WR,,,274,,,274.0
Chad Henne,QB,,,,,275,275.0
Malik Henry,WR,,,,,276,276.0
Zack Moss,RB,,,277,,,277.0
Quinn Nordin,K,,,,,277,277.0
Noah Brown,WR,,,,,278,278.0
Braxton Berrios,WR,,,279,,,279.0
Dorian Baker,WR,,,,,279,279.0
Taylor Heinicke,QB,,,,,280,280.0
Jaylen Warren,RB,,,280,,,280.0
Damien Williams,RB,,,281,,,281.0
Sewo Olonilua,RB,,,,,281,281.0
Kyren Williams,RB,,,282,,,282.0
