name,position,Yahoo,Fantrax,FFC,Sleeper,AVG
Jonathan Taylor,RB,1,,,1,1.0
Christian McCaffrey,RB,2,,,2,2.0
Austin Ekeler,RB,3,,,4,3.5
Derrick Henry,RB,6,,,3,4.5
Cooper Kupp,WR,4,,,5,4.5
Justin Jefferson,WR,5,,,8,6.5
Dalvin Cook,RB,7,,,6,6.5
Najee Harris,RB,9,,,7,8.0
Ja'Marr Chase,WR,8,,,10,9.0
Joe Mixon,RB,11,,,9,10.0
Davante Adams,WR,12,,,11,11.5
Stefon Diggs,WR,10,,,14,12.0
D'Andre Swift,RB,17,,,12,14.5
Travis Kelce,TE,15,,,15,15.0
Alvin Kamara,RB,18,,,13,15.5
CeeDee Lamb,WR,13,,,19,16.0
Aaron Jones,RB,14,,,18,16.0
Saquon Barkley,RB,16,,,17,16.5
Nick Chubb,RB,19,,,16,17.5
Tyreek Hill,WR,24,,,20,22.0
Josh Allen,QB,22,,,22,22.0
Leonard Fournette,RB,20,,,25,22.5
Javonte Williams,RB,25,,,21,23.0
Mike Evans,WR,21,,,26,23.5
Deebo Samuel,WR,23,,,24,23.5
Mark Andrews,TE,26,,,23,24.5
Ezekiel Elliott,RB,28,,,27,27.5
James Conner,RB,29,,,29,29.0
Michael Pittman Jr.,WR,27,,,33,30.0
A.J. Brown,WR,32,,,28,30.0
Keenan Allen,WR,31,,,30,30.5
Tee Higgins,WR,30,,,34,32.0
Kyle Pitts,TE,33,,,31,32.0
Patrick Mahomes II,QB,34,,,32,33.0
Justin Herbert,QB,36,,,36,36.0
DJ Moore,WR,35,,,41,38.0
George Kittle,TE,42,,,35,38.5
Travis Etienne Jr.,RB,43,,,37,40.0
Mike Williams,WR,38,,,43,40.5
Breece Hall,RB,41,,,40,40.5
Terry McLaurin,WR,40,,,42,41.0
David Montgomery,RB,46,,,38,42.0
Cam Akers,RB,45,,,39,42.0
Lamar Jackson,QB,39,,,46,42.5
Courtland Sutton,WR,44,,,44,44.0
Elijah Mitchell,RB,37,,,54,45.5
Darren Waller,TE,47,,,48,47.5
Diontae Johnson,WR,50,,,47,48.5
Jaylen Waddle,WR,49,,,49,49.0
Josh Jacobs,RB,54,,,45,49.5
Allen Robinson II,WR,48,,,53,50.5
DK Metcalf,WR,55,,,50,52.5
AJ Dillon,RB,52,,,56,54.0
J.K. Dobbins,RB,58,,,52,55.0
Kyler Murray,QB,56,,,55,55.5
Joe Burrow,QB,51,,,62,56.5
Jerry Jeudy,WR,62,,,51,56.5
Dalton Schultz,TE,53,,,60,56.5
Jalen Hurts,QB,57,,,63,60.0
Antonio Gibson,RB,69,,,57,63.0
Brandin Cooks,WR,68,,,59,63.5
JuJu Smith-Schuster,WR,59,,,68,63.5
Amon-Ra St. Brown,WR,64,,,66,65.0
Clyde Edwards-Helaire,RB,72,,,61,66.5
Gabriel Davis,WR,63,,,70,66.5
Marquise Brown,WR,78,,,58,68.0
T.J. Hockenson,TE,65,,,71,68.0
Dallas Goedert,TE,61,,,79,70.0
Tom Brady,QB,60,,,81,70.5
Michael Thomas,WR,74,,,67,70.5
Russell Wilson,QB,70,,,73,71.5
Chase Edmonds,RB,67,,,78,72.5
Damien Harris,RB,71,,,74,72.5
Adam Thielen,WR,77,,,69,73.0
Amari Cooper,WR,86,,,65,75.5
Rashod Bateman,WR,79,,,76,77.5
Chris Godwin,WR,94,,,64,79.0
Dameon Pierce,RB,75,,,83,79.0
Dawson Knox,TE,73,,,89,81.0
Darnell Mooney,WR,91,,,72,81.5
Miles Sanders,RB,88,,,77,82.5
Buffalo Bills,DST,66,,,102,84.0
Devin Singletary,RB,83,,,85,84.0
Rashaad Penny,RB,82,,,88,85.0
Kareem Hunt,RB,99,,,75,87.0
Tony Pollard,RB,90,,,84,87.0
Dak Prescott,QB,85,,,94,89.5
Hunter Renfrow,WR,93,,,86,89.5
Cordarrelle Patterson,RB,101,,,80,90.5
Rhamondre Stevenson,RB,87,,,96,91.5
Elijah Moore,WR,95,,,90,92.5
Aaron Rodgers,QB,89,,,97,93.0
DeAndre Hopkins,WR,105,,,82,93.5
Brandon Aiyuk,WR,97,,,95,96.0
Zach Ertz,TE,96,,,98,97.0
DeVonta Smith,WR,108,,,87,97.5
Trey Lance,QB,92,,,104,98.0
Allen Lazard,WR,106,,,91,98.5
Tampa Bay Buccaneers,DST,80,,,118,99.0
Melvin Gordon III,RB,103,,,100,101.5
San Francisco 49ers,DST,81,,,125,103.0
Matthew Stafford,QB,98,,,108,103.0
Ken Walker III,RB,114,,,93,103.5
Christian Kirk,WR,107,,,101,104.0
Justin Tucker,K,76,,,136,106.0
Drake London,WR,122,,,92,107.0
Los Angeles Rams,DST,100,,,119,109.5
