name,position,team,AVG,source,format,drafts,season
Christian McCaffrey,RB,CAR,1.2,fantasyfootballcalculator,ppr,1709,2021
Dalvin Cook,RB,MIN,2.5,fantasyfootballcalculator,ppr,1709,2021
Alvin Kamara,RB,NO,3.8,fantasyfootballcalculator,ppr,1709,2021
Derrick Henry,RB,TEN,4.0,fantasyfootballcalculator,ppr,1709,2021
Ezekiel Elliott,RB,DAL,5.3,fantasyfootballcalculator,ppr,1709,2021
Davante Adams,WR,GB,6.4,fantasyfootballcalculator,ppr,1709,2021
Aaron Jones Sr.,RB,GB,7.5,fantasyfootballcalculator,ppr,1709,2021
Travis Kelce,TE,KC,8.2,fantasyfootballcalculator,ppr,1709,2021
Austin Ekeler,RB,LAC,8.5,fantasyfootballcalculator,ppr,1709,2021
Nick Chubb,RB,CLE,9.9,fantasyfootballcalculator,ppr,1709,2021
Tyreek Hill,WR,KC,10.6,fantasyfootballcalculator,ppr,1709,2021
Saquon Barkley,RB,NYG,12.0,fantasyfootballcalculator,ppr,1709,2021
Najee Harris,RB,PIT,12.9,fantasyfootballcalculator,ppr,1709,2021
Stefon Diggs,WR,BUF,13.5,fantasyfootballcalculator,ppr,1709,2021
Jonathan Taylor,RB,IND,13.8,fantasyfootballcalculator,ppr,1709,2021
Antonio Gibson,RB,WAS,15.6,fantasyfootballcalculator,ppr,1709,2021
DeAndre Hopkins,WR,ARI,17.0,fantasyfootballcalculator,ppr,1709,2021
Calvin Ridley,WR,ATL,18.0,fantasyfootballcalculator,ppr,1709,2021
Joe Mixon,RB,CIN,19.2,fantasyfootballcalculator,ppr,1709,2021
DK Metcalf,WR,SEA,19.7,fantasyfootballcalculator,ppr,1709,2021
Clyde Edwards-Helaire,RB,KC,20.4,fantasyfootballcalculator,ppr,1709,2021
Darren Waller,TE,LV,21.5,fantasyfootballcalculator,ppr,1709,2021
Justin Jefferson,WR,MIN,22.4,fantasyfootballcalculator,ppr,1709,2021
Patrick Mahomes,QB,KC,22.9,fantasyfootballcalculator,ppr,1709,2021
A.J. Brown,WR,TEN,24.8,fantasyfootballcalculator,ppr,1709,2021
David Montgomery,RB,CHI,25.9,fantasyfootballcalculator,ppr,1709,2021
Keenan Allen,WR,LAC,25.9,fantasyfootballcalculator,ppr,1709,2021
Chris Carson,RB,SEA,28.0,fantasyfootballcalculator,ppr,1709,2021
George Kittle,TE,SF,28.5,fantasyfootballcalculator,ppr,1709,2021
James Robinson,RB,JAX,29.1,fantasyfootballcalculator,ppr,1709,2021
CeeDee Lamb,WR,DAL,29.6,fantasyfootballcalculator,ppr,1709,2021
Terry McLaurin,WR,WAS,30.3,fantasyfootballcalculator,ppr,1709,2021
Allen Robinson II,WR,CHI,32.7,fantasyfootballcalculator,ppr,1709,2021
D'Andre Swift,RB,DET,34.0,fantasyfootballcalculator,ppr,1709,2021
Josh Allen,QB,BUF,34.4,fantasyfootballcalculator,ppr,1709,2021
Robert Woods,WR,LAR,35.1,fantasyfootballcalculator,ppr,1709,2021
Josh Jacobs,RB,LV,35.4,fantasyfootballcalculator,ppr,1709,2021
Mike Evans,WR,TB,37.8,fantasyfootballcalculator,ppr,1709,2021
Miles Sanders,RB,PHI,38.7,fantasyfootballcalculator,ppr,1709,2021
Amari Cooper,WR,DAL,40.0,fantasyfootballcalculator,ppr,1709,2021
Kyle Pitts Sr.,TE,ATL,40.3,fantasyfootballcalculator,ppr,1709,2021
Kyler Murray,QB,ARI,41.3,fantasyfootballcalculator,ppr,1709,2021
Cooper Kupp,WR,LAR,41.3,fantasyfootballcalculator,ppr,1709,2021
Mike Davis,RB,ATL,43.1,fantasyfootballcalculator,ppr,1709,2021
Darrell Henderson Jr.,RB,LAR,43.8,fantasyfootballcalculator,ppr,1709,2021
Diontae Johnson,WR,PIT,44.9,fantasyfootballcalculator,ppr,1709,2021
Myles Gaskin,RB,MIA,45.7,fantasyfootballcalculator,ppr,1709,2021
Julio Jones,WR,TEN,46.0,fantasyfootballcalculator,ppr,1709,2021
Chris Godwin Jr.,WR,TB,47.2,fantasyfootballcalculator,ppr,1709,2021
Tyler Lockett,WR,SEA,48.4,fantasyfootballcalculator,ppr,1709,2021
Lamar Jackson,QB,BAL,50.9,fantasyfootballcalculator,ppr,1709,2021
Adam Thielen,WR,MIN,52.3,fantasyfootballcalculator,ppr,1709,2021
Javonte Williams,RB,DEN,52.7,fantasyfootballcalculator,ppr,1709,2021
Mark Andrews,TE,BAL,52.8,fantasyfootballcalculator,ppr,1709,2021
Kareem Hunt,RB,CLE,53.2,fantasyfootballcalculator,ppr,1709,2021
Brandon Aiyuk,WR,SF,53.9,fantasyfootballcalculator,ppr,1709,2021
T.J. Hockenson,TE,DET,55.4,fantasyfootballcalculator,ppr,1709,2021
Damien Harris,RB,NE,55.5,fantasyfootballcalculator,ppr,1709,2021
Gus Edwards,RB,BAL,56.6,fantasyfootballcalculator,ppr,1709,2021
DJ Moore,WR,CAR,57.0,fantasyfootballcalculator,ppr,1709,2021
Aaron Rodgers,QB,GB,59.0,fantasyfootballcalculator,ppr,1709,2021
Chase Edmonds,RB,ARI,60.4,fantasyfootballcalculator,ppr,1709,2021
Chase Claypool,WR,PIT,61.1,fantasyfootballcalculator,ppr,1709,2021
Tee Higgins,WR,CIN,61.3,fantasyfootballcalculator,ppr,1709,2021
Raheem Mostert,RB,SF,63.0,fantasyfootballcalculator,ppr,1709,2021
Jerry Jeudy,WR,DEN,64.1,fantasyfootballcalculator,ppr,1709,2021
Dak Prescott,QB,DAL,66.7,fantasyfootballcalculator,ppr,1709,2021
Trey Sermon,RB,SF,67.7,fantasyfootballcalculator,ppr,1709,2021
Odell Beckham Jr.,WR,LAR,69.0,fantasyfootballcalculator,ppr,1709,2021
Justin Herbert,QB,LAC,69.3,fantasyfootballcalculator,ppr,1709,2021
Russell Wilson,QB,SEA,69.4,fantasyfootballcalculator,ppr,1709,2021
Michael Thomas,WR,NO,69.5,fantasyfootballcalculator,ppr,1709,2021
Logan Thomas,TE,WAS,72.2,fantasyfootballcalculator,ppr,1709,2021
