name,position,ESPN,RTSports,MFL,Fantrax,FFC,Sleeper,AVG
Jonathan Taylor,RB,1,1,,,,1,1.0
Christian McCaffrey,RB,2,2,,,,2,2.0
Austin Ekeler,RB,4,3,,,,4,3.8
Cooper Kupp,WR,3,5,,,,5,4.0
Derrick Henry,RB,5,8,,,,3,5.3
Justin Jefferson,WR,6,4,,,,6,5.5
Dalvin Cook,RB,9,7,,,,7,7.5
Najee Harris,RB,8,6,,,,8,8.0
Ja'Marr Chase,WR,7,9,,,,9,8.3
Joe Mixon,RB,12,10,,,,10,10.3
Davante Adams,WR,11,15,,,,12,12.3
Stefon Diggs,WR,13,14,,,,11,12.5
Alvin Kamara,RB,10,12,,,,15,13.3
Travis Kelce,TE,17,17,,,,13,15.0
D'Andre Swift,RB,15,11,,,,14,15.5
Deebo Samuel,WR,14,19,,,,21,17.0
Aaron Jones,RB,21,22,,,,18,19.5
CeeDee Lamb,WR,19,21,,,,17,19.5
Tyreek Hill,WR,16,23,,,,20,19.8
Nick Chubb,RB,28,18,,,,16,20.0
Saquon Barkley,RB,26,13,,,,19,20.3
Josh Allen,QB,22,24,,,,22,20.8
Mark Andrews,TE,20,25,,,,23,21.8
Leonard Fournette,RB,18,20,,,,25,22.0
Javonte Williams,RB,23,16,,,,24,22.8
Mike Evans,WR,27,28,,,,26,26.8
Keenan Allen,WR,24,33,,,,27,28.3
James Conner,RB,25,26,,,,30,29.3
Patrick Mahomes II,QB,29,34,,,,32,29.8
Ezekiel Elliott,RB,38,27,,,,29,30.3
A.J. Brown,WR,34,29,,,,28,30.8
Kyle Pitts,TE,35,32,,,,31,32.8
Michael Pittman Jr.,WR,31,30,,,,35,33.5
Tee Higgins,WR,30,37,,,,33,33.8
Justin Herbert,QB,36,38,,,,34,34.5
David Montgomery,RB,40,35,,,,40,36.5
Cam Akers,RB,33,36,,,,37,39.8
George Kittle,TE,41,48,,,,36,39.8
Travis Etienne Jr.,RB,45,31,,,,39,40.5
Terry McLaurin,WR,37,47,,,,38,41.0
Lamar Jackson,QB,42,52,,,,43,43.5
DJ Moore,WR,32,41,,,,42,43.8
Diontae Johnson,WR,43,46,,,,45,43.8
Darren Waller,TE,47,51,,,,41,44.8
Mike Williams,WR,39,44,,,,50,46.0
Jaylen Waddle,WR,44,57,,,,44,47.3
DK Metcalf,WR,46,60,,,,48,48.3
Josh Jacobs,RB,54,50,,,,49,49.5
Elijah Mitchell,RB,62,40,,,,58,52.0
J.K. Dobbins,RB,55,49,,,,54,52.0
Breece Hall,RB,48,45,,,,46,52.3
Kyler Murray,QB,52,67,,,,53,53.8
Jalen Hurts,QB,56,54,,,,62,55.3
Brandin Cooks,WR,49,59,,,,61,56.0
Dalton Schultz,TE,57,63,,,,55,57.3
Courtland Sutton,WR,51,42,,,,47,58.0
Joe Burrow,QB,74,69,,,,52,60.3
Marquise Brown,WR,53,64,,,,60,61.5
Chris Godwin,WR,59,66,,,,65,61.8
Allen Robinson II,WR,69,62,,,,57,62.8
Amon-Ra St. Brown,WR,58,53,,,,68,63.5
Clyde Edwards-Helaire,RB,60,70,,,,67,64.0
Antonio Gibson,RB,84,61,,,,56,64.8
Jerry Jeudy,WR,50,83,,,,51,65.8
T.J. Hockenson,TE,67,76,,,,64,65.8
Gabriel Davis,WR,61,56,,,,75,67.3
AJ Dillon,RB,97,43,,,,63,67.8
Amari Cooper,WR,70,78,,,,59,67.8
Dallas Goedert,TE,79,80,,,,71,70.5
Tom Brady,QB,64,84,,,,74,72.0
Adam Thielen,WR,73,72,,,,70,73.3
Darnell Mooney,WR,63,58,,,,73,73.5
JuJu Smith-Schuster,WR,65,75,,,,69,74.3
Russell Wilson,QB,77,87,,,,72,77.5
Michael Thomas,WR,71,74,,,,66,80.0
Aaron Rodgers,QB,68,102,,,,90,80.3
Dak Prescott,QB,75,90,,,,91,82.0
Devin Singletary,RB,66,73,,,,89,82.5
Hunter Renfrow,WR,72,95,,,,82,83.3
DeAndre Hopkins,WR,98,85,,,,77,83.3
Dameon Pierce,RB,78,39,,,,96,83.5
Damien Harris,RB,89,86,,,,79,83.8
Miles Sanders,RB,76,81,,,,78,84.5
Kareem Hunt,RB,81,79,,,,80,85.3
Cordarrelle Patterson,RB,92,77,,,,81,85.8
Tony Pollard,RB,95,71,,,,84,86.0
Chase Edmonds,RB,94,55,,,,87,86.8
Rashaad Penny,RB,106,65,,,,95,87.0
Rashod Bateman,WR,83,82,,,,76,88.5
Zach Ertz,TE,86,101,,,,83,88.8
Dawson Knox,TE,101,103,,,,85,90.0
Elijah Moore,WR,91,88,,,,92,90.0
DeVonta Smith,WR,85,92,,,,86,90.3
Buffalo Bills,DST,80,129,,,,94,92.0
Matthew Stafford,QB,87,105,,,,100,92.0
Tyler Lockett,WR,90,114,,,,99,96.5
Brandon Aiyuk,WR,103,94,,,,98,98.0
Drake London,WR,96,100,,,,88,98.5
Rhamondre Stevenson,RB,93,68,,,,101,100.0
Christian Kirk,WR,82,89,,,,105,100.3
Trey Lance,QB,104,109,,,,107,101.5
Robert Woods,WR,110,93,,,,110,103.0
Allen Lazard,WR,99,91,,,,93,104.5
Justin Tucker,K,88,140,,,,132,105.5
Melvin Gordon III,RB,117,97,,,,109,107.5
Pat Freiermuth,TE,108,108,,,,104,108.5
Chris Olave,WR,109,106,,,,102,110.8
Tampa Bay Buccaneers,DST,107,134,,,,112,112.3
Derek Carr,QB,114,112,,,,115,113.3
Ken Walker III,RB,132,98,,,,97,116.0
Chase Claypool,WR,111,122,,,,114,116.3
James Robinson,RB,122,99,,,,123,117.0
Michael Carter,RB,124,110,,,,119,117.0
San Francisco 49ers,DST,121,142,,,,121,118.8
Kadarius Toney,WR,112,119,,,,117,119.0
James Cook,RB,128,96,,,,103,120.0
Cole Kmet,TE,115,113,,,,116,121.8
Indianapolis Colts,DST,136,144,,,,147,123.5
Kirk Cousins,QB,125,115,,,,130,125.3
George Pickens,WR,146,107,,,,111,127.8
Los Angeles Rams,DST,161,162,,,,106,129.0
Harrison Butker,K,116,171,,,,134,129.0
Evan McPherson,K,102,154,,,,133,129.0
Mike Gesicki,TE,129,152,,,,113,129.0
Hunter Henry,TE,118,126,,,,141,130.3
Treylon Burks,WR,143,117,,,,108,131.8
Daniel Carlson,K,127,148,,,,135,132.3
Darrell Henderson Jr.,RB,156,104,,,,126,132.5
Tyler Bass,K,144,159,,,,138,132.8
Alexander Mattison,RB,154,120,,,,124,135.0
New Orleans Saints,DST,105,169,,,,144,135.3
Matt Gay,K,113,160,,,,136,135.8
Tyler Boyd,WR,126,131,,,,128,137.8
Garrett Wilson,WR,120,155,,,,120,138.0
Dallas Cowboys,DST,130,178,,,,139,138.8
Michael Gallup,WR,140,125,,,,143,139.3
Nyheim Hines,RB,131,116,,,,127,140.5
Tua Tagovailoa,QB,135,137,,,,149,140.5
Green Bay Packers,DST,100,194,,,,146,142.5
Skyy Moore,WR,137,127,,,,122,142.8
Julio Jones,WR,160,143,,,,118,143.8
Raheem Mostert,RB,134,118,,,,182,144.8
Russell Gage,WR,139,145,,,,165,145.5
Kenneth Gainwell,RB,170,111,,,,142,146.8
D.J. Chark Jr.,WR,145,135,,,,170,147.5
Justin Fields,QB,149,139,,,,158,148.0
Los Angeles Chargers,DST,150,196,,,,129,148.8
Marquez Valdes-Scantling,WR,123,163,,,,137,148.8
Matt Prater,K,157,186,,,,145,151.0
Brian Robinson Jr.,RB,165,136,,,,156,153.8
Trevor Lawrence,QB,142,141,,,,168,155.0
Tyler Higbee,TE,152,192,,,,148,155.3
Jarvis Landry,WR,148,146,,,,140,157.3
Baltimore Ravens,DST,119,224,,,,125,159.8
DeVante Parker,WR,167,166,,,,150,161.5
David Njoku,TE,155,156,,,,155,161.8
Jakobi Meyers,WR,133,138,,,,172,162.3
Noah Fant,TE,153,153,,,,191,164.3
J.D. McKissic,RB,163,123,,,,171,165.3
New England Patriots,DST,181,197,,,,181,166.0
Jameis Winston,QB,166,149,,,,164,166.3
Younghoe Koo,K,179,255,,,,152,166.5
Mecole Hardman,WR,182,168,,,,186,168.8
Denver Broncos,DST,184,170,,,,157,169.0
Miami Dolphins,DST,158,195,,,,220,169.3
Albert Okwuegbunam,TE,190,172,,,,131,169.3
Jamaal Williams,RB,168,130,,,,177,170.0
Nick Folk,K,141,249,,,,166,172.0
Matt Ryan,QB,171,161,,,,187,172.3
Brandon McManus,K,138,214,,,,151,173.8
Jahan Dotson,WR,151,147,,,,160,174.8
Pittsburgh Steelers,DST,147,228,,,,176,174.8
Irv Smith Jr.,TE,162,132,,,,169,175.8
Romeo Doubs,WR,180,158,,,,154,176.3
Isaiah McKenzie,WR,200,157,,,,173,176.3
Robert Tonyan,TE,201,151,,,,179,177.8
Ryan Succop,K,194,217,,,,199,179.0
Mark Ingram II,RB,203,180,,,,159,179.0
Khalil Herbert,RB,176,133,,,,162,181.3
Ryan Tannehill,QB,175,183,,,,215,185.3
Tyler Allgeier,RB,185,128,,,,167,186.3
Rondale Moore,WR,202,165,,,,161,186.3
Mac Jones,QB,173,227,,,,185,188.0
Gerald Everett,TE,217,185,,,,194,189.3
Rachaad White,RB,219,124,,,,163,193.0
Evan Engram,TE,191,190,,,,217,193.8
Deshaun Watson,QB,196,232,,,,195,194.5
Baker Mayfield,QB,174,212,,,,202,195.3
Philadelphia Eagles,DST,172,238,,,,200,197.3
Cleveland Browns,DST,188,204,,,,201,198.0
Zamir White,RB,225,150,,,,178,201.3
Robbie Gould,K,189,259,,,,184,201.3
Odell Beckham Jr.,WR,212,188,,,,192,202.0
Joshua Palmer,WR,164,181,,,,204,202.3
Isiah Pacheco,RB,197,,,,,175,178.0
Hayden Hurst,TE,186,199,,,,214,206.0
Kansas City Chiefs,DST,206,193,,,,,183.3
Robbie Anderson,WR,169,201,,,,218,208.5
Austin Hooper,TE,199,211,,,,206,209.0
Jalen Tolbert,WR,208,200,,,,190,210.3
Kenny Golladay,WR,183,237,,,,193,210.5
Christian Watson,WR,,189,,,,174,188.3
Marvin Jones Jr.,WR,159,216,,,,229,212.3
Wil Lutz,K,215,221,,,,203,212.3
