name,position,CBS,Sleeper,RTSports,AVG
New York Jets,DST,,158,158,158.0
San Francisco 49ers,DST,,154,163,158.5
Luke Musgrave,TE,,147,175,161.0
Ray Davis,RB,,176,150,163.0
Baker Mayfield,QB,,171,155,163.0
Ka'imi Fairbairn,K,,155,172,163.5
Adam Thielen,WR,,172,156,164.0
Xavier Legette,WR,,142,187,164.5
Kimani Vidal,RB,,173,161,167.0
Dallas Cowboys,DST,,191,145,168.0
Bucky Irving,RB,,189,149,169.0
Baltimore Ravens,DST,,187,151,169.0
Jake Elliott,K,,152,186,169.0
Ja'Lynn Polk,WR,,160,178,169.0
Braelon Allen,RB,,180,160,170.0
Darnell Mooney,WR,,174,168,171.0
Younghoe Koo,K,,136,207,171.5
Deshaun Watson,QB,,178,165,171.5
Jake Moody,K,,153,197,175.0
Michael Wilson,WR,,192,159,175.5
Josh Downs,WR,,165,189,177.0
Will Levis,QB,,196,162,179.0
Tyrone Tracy Jr.,RB,,184,174,179.0
Khalil Herbert,RB,,188,171,179.5
Evan McPherson,K,,135,227,181.0
Geno Smith,QB,,198,166,182.0
Isaiah Likely,TE,,181,192,186.5
Tyler Conklin,TE,,193,181,187.0
Cleveland Browns,DST,,200,176,188.0
Hunter Henry,TE,,183,193,188.0
Cameron Dicker,K,,156,223,189.5
Jason Sanders,K,,177,204,190.5
Pittsburgh Steelers,DST,,195,188,191.5
Quentin Johnston,WR,,182,202,192.0
Jordan Mason,RB,,244,142,193.0
Jahan Dotson,WR,,163,228,195.5
Tyler Bass,K,,157,235,196.0
DeMario Douglas,WR,,185,208,196.5
Bo Nix,QB,,215,179,197.0
Bryce Young,QB,,223,173,198.0
Cade Otton,TE,,179,220,199.5
Chigoziem Okonkwo,TE,,206,195,200.5
Derek Carr,QB,,239,167,203.0
Tank Bigsby,RB,,217,191,204.0
Justin Fields,QB,,202,209,205.5
Daniel Jones,QB,,235,177,206.0
Kansas City Chiefs,DST,,209,205,207.0
Ben Sinnott,TE,,170,246,208.0
Drake Maye,QB,,221,200,210.5
Russell Wilson,QB,,241,182,211.5
Alexander Mattison,RB,,224,199,211.5
Troy Franklin,WR,,175,249,212.0
Buffalo Bills,DST,,245,180,212.5
Jermaine Burton,WR,,197,229,213.0
Jason Myers,K,,212,214,213.0
Miami Dolphins,DST,,213,215,214.0
Sam Darnold,QB,,247,183,215.0
Audric Estime,RB,,210,221,215.5
Philadelphia Eagles,DST,,204,231,217.5
Luke McCaffrey,WR,,199,239,219.0
Dameon Pierce,RB,,194,247,220.5
Marvin Mims Jr.,WR,,203,238,220.5
Roschon Johnson,RB,,231,212,221.5
Wan'Dale Robinson,WR,,226,217,221.5
Jonnu Smith,TE,,234,211,222.5
Houston Texans,DST,,248,198,223.0
Kendre Miller,RB,,166,283,224.5
Ricky Pearsall,WR,,169,280,224.5
Jamaal Williams,RB,,255,194,224.5
Noah Fant,TE,,218,232,225.0
Rashod Bateman,WR,,201,251,226.0
Will Shipley,RB,,219,234,226.5
Gardner Minshew II,QB,,271,184,227.5
Justice Hill,RB,,246,210,228.0
Clyde Edwards-Helaire,RB,,216,244,230.0
New Orleans Saints,DST,,261,203,232.0
Kenneth Gainwell,RB,,258,206,232.0
Greg Dortch,WR,,222,242,232.0
Daniel Carlson,K,,214,253,233.5
Roman Wilson,WR,,190,279,234.5
Jalen McMillan,WR,,230,243,236.5
Juwan Johnson,TE,,243,233,238.0
Tampa Bay Buccaneers,DST,,205,272,238.5
Seattle Seahawks,DST,,211,271,241.0
Ja'Tavion Sanders,TE,,227,265,246.0
Samaje Perine,RB,,310,185,247.5
Las Vegas Raiders,DST,,253,241,247.0
Mike Gesicki,TE,,228,267,247.5
Keaton Mitchell,RB,,232,263,247.5
Dyami Brown,WR,,,190,190.0
Jacoby Brissett,QB,,,196,196.0
Demarcus Robinson,WR,,220,285,252.5
Dalvin Cook,RB,,,201,201.0
Tyler Boyd,WR,,238,270,254.0
Malachi Corley,WR,,207,303,255.0
Detroit Lions,DST,,254,259,256.5
Washington Commanders,DST,,208,,208.0
Theo Johnson,TE,,252,264,258.0
Zach Ertz,TE,,262,254,258.0
Trey Sermon,RB,,251,266,258.5
Jalen Tolbert,WR,,249,269,259.0
Isaac Guerendo,RB,,237,282,259.5
Greg Dulcich,TE,,265,255,260.0
Aidan O'Connell,QB,,321,213,267.0
Matt Gay,K,,,216,216.0
Kareem Hunt,RB,,,218,218.0
Cincinnati Bengals,DST,,,219,219.0
Hayden Hurst,TE,,304,222,263.0
Dylan Laube,RB,,250,277,263.5
Chicago Bears,DST,,299,230,264.5
Cam Akers,RB,,,224,224.0
Carson Steele,RB,,,225,225.0
Colby Parkinson,TE,,259,273,266.0
Indianapolis Colts,DST,,320,226,273.0
D'Onta Foreman,RB,,240,294,267.0
DJ Chark Jr.,WR,,236,302,269.0
Javon Baker,WR,,233,,233.0
Green Bay Packers,DST,,318,236,277.0
Miles Sanders,RB,,313,237,275.0
Odell Beckham Jr.,WR,,242,304,273.0
Andrei Iosivas,WR,,,240,240.0
Minnesota Vikings,DST,,270,278,274.0
New York Giants,DST,,264,286,275.0
Atlanta Falcons,DST,,,245,245.0
Darius Slayton,WR,,278,275,276.5
Dawson Knox,TE,,273,281,277.0
Joe Flacco,QB,,,248,248.0
Greg Zuerlein,K,,,250,250.0
Cairo Santos,K,,,252,252.0
Jalin Hyatt,WR,,272,290,281.0
Michael Penix Jr.,QB,,256,,256.0
Jake Bates,K,,,256,256.0
Tennessee Titans,DST,,257,,257.0
Will Reichard,K,,,257,257.0
Eric Gray,RB,,,258,258.0
Dustin Hopkins,K,,,260,260.0
Joshua Karty,K,,,261,261.0
Cam Little,K,,,262,262.0
New England Patriots,DST,,263,,263.0
Michael Mayer,TE,,282,289,285.5
Brenden Rice,WR,,267,,267.0
Denver Broncos,DST,,,268,268.0
Elijah Moore,WR,,268,,268.0
Leroy Watson IV,TE,,269,,269.0
Malik Washington,WR,,289,291,290.0
Andy Janovich,RB,,274,,274.0
Daniel Bellinger,TE,,315,274,294.5
Devontez Walker,WR,,275,,275.0
Cordarrelle Patterson,RB,,,276,276.0
Zay Jones,WR,,277,,277.0
Kendrick Bourne,WR,,280,305,292.5
