name,position,sleeper_rank
Christian McCaffrey,RB1,1.0
Dalvin Cook,RB2,2.0
Derrick Henry,RB4,3.0
Alvin Kamara,RB3,4.0
Ezekiel Elliott,RB5,5.0
Saquon Barkley,RB7,6.0
Nick Chubb,RB8,7.0
Jonathan Taylor,RB9,8.0
Aaron Jones,RB6,9.0
Tyreek Hill,WR2,10.0
Davante Adams,WR1,11.0
Travis Kelce,TE1,12.0
Austin Ekeler,RB10,13.0
Najee Harris,RB12,14.0
DeAndre Hopkins,WR5,15.0
Stefon Diggs,WR3,16.0
Joe Mixon,RB13,17.0
D.K. Metcalf,WR6,18.0
Patrick Mahomes,QB1,19.0
Calvin Ridley,WR4,20.0
Antonio Gibson,RB11,21.0
Clyde Edwards-Helaire,RB14,22.0
George Kittle,TE3,23.0
A.J. Brown,WR7,24.0
Darren Waller,TE2,25.0
Keenan Allen,WR9,26.0
Justin Jefferson,WR8,27.0
David Montgomery,RB16,28.0
Chris Carson,RB15,29.0
Terry McLaurin,WR11,30.0
Josh Jacobs,RB20,31.0
D'Andre Swift,RB17,32.0
James Robinson,RB18,33.0
Allen Robinson,WR10,34.0
Mike Evans,WR13,35.0
Josh Allen,QB2,36.0
CeeDee Lamb,WR12,37.0
Miles Sanders,RB19,38.0
Kyler Murray,QB3,39.0
Julio Jones,WR18,40.0
Chris Godwin,WR15,41.0
Darrell Henderson,RB22,42.0
Amari Cooper,WR16,43.0
Robert Woods,WR14,44.0
Kyle Pitts,TE6,45.0
Lamar Jackson,QB4,46.0
Cooper Kupp,WR19,47.0
D.J. Moore,WR17,48.0
Kareem Hunt,RB24,49.0
Mark Andrews,TE4,50.0
Adam Thielen,WR22,51.0
Tyler Lockett,WR20,52.0
Myles Gaskin,RB25,53.0
Diontae Johnson,WR21,54.0
Mike Davis,RB21,55.0
T.J. Hockenson,TE5,56.0
Russell Wilson,QB6,57.0
Dak Prescott,QB5,58.0
Justin Herbert,QB8,59.0
Chase Edmonds,RB28,60.0
Brandon Aiyuk,WR24,61.0
Michael Thomas,WR49,62.0
Javonte Williams,RB27,63.0
Ja'Marr Chase,WR29,64.0
Aaron Rodgers,QB7,65.0
Kenny Golladay,WR28,66.0
Tee Higgins,WR23,67.0
Odell Beckham,WR26,68.0
Chase Claypool,WR25,69.0
Raheem Mostert,RB29,70.0
Jerry Jeudy,WR27,71.0
Ronald Jones,RB32,72.0
Gus Edwards,RB23,73.0
Melvin Gordon,RB31,74.0
JuJu Smith-Schuster,WR31,75.0
Damien Harris,RB26,76.0
Courtland Sutton,WR32,77.0
Trey Sermon,RB30,78.0
Tom Brady,QB10,79.0
Deebo Samuel,WR35,80.0
Noah Fant,TE7,81.0
Robby Anderson,WR30,82.0
D.J. Chark,WR37,83.0
Dallas Goedert,TE9,84.0
DeVonta Smith,WR40,85.0
Leonard Fournette,RB36,86.0
Michael Carter,RB33,87.0
Tyler Boyd,WR33,88.0
Matthew Stafford,QB12,89.0
Brandin Cooks,WR34,90.0
Robert Tonyan,TE10,91.0
Zack Moss,RB35,92.0
Logan Thomas,TE8,93.0
Jarvis Landry,WR42,94.0
Antonio Brown,WR38,95.0
Jaylen Waddle,WR48,96.0
James Conner,RB34,97.0
Laviska Shenault,WR41,98.0
Jalen Hurts,QB11,100.0
AJ Dillon,RB37,101.0
Ryan Tannehill,QB9,102.0
Rob Gronkowski,TE15,103.0
Will Fuller,WR39,104.0
David Johnson,RB43,105.0
Corey Davis,WR36,106.0
Tyler Higbee,TE11,107.0
Kenyan Drake,RB38,108.0
Mike Gesicki,TE12,109.0
Curtis Samuel,WR44,110.0
Mike Williams,WR43,112.0
Michael Pittman,WR47,114.0
Devin Singletary,RB40,115.0
Joe Burrow,QB13,116.0
Darnell Mooney,WR50,118.0
Trevor Lawrence,QB15,119.0
Michael Gallup,WR45,121.0
Jamaal Williams,RB39,122.0
Marquise Brown,WR52,123.0
Tony Pollard,RB42,124.0
Mecole Hardman,WR54,125.0
Henry Ruggs,WR56,126.0
Phillip Lindsay,RB44,128.0
Nyheim Hines,RB41,130.0
Trey Lance,QB23,131.0
Marvin Jones,WR46,132.0
Marquez Callaway,WR51,134.0
Sony Michel,RB48,136.0
Elijah Moore,WR57,140.0
Justin Fields,QB21,141.0
Baker Mayfield,QB18,143.0
Jonnu Smith,TE13,145.0
Chuba Hubbard,RB63,146.0
Russell Gage,WR55,147.0
Hunter Henry,TE16,148.0
Latavius Murray,RB51,150.0
Alexander Mattison,RB47,151.0
DeVante Parker,WR53,152.0
Cole Beasley,WR58,153.0
Nelson Agholor,WR60,154.0
Matt Ryan,QB14,155.0
J.D. McKissic,RB46,156.0
Rhamondre Stevenson,RB57,157.0
Jakobi Meyers,WR59,159.0
Rondale Moore,WR67,166.0
Jared Cook,TE19,167.0
Tevin Coleman,RB50,168.0
Kirk Cousins,QB16,169.0
Terrace Marshall,WR73,170.0
Kenneth Gainwell,RB56,171.0
Evan Engram,TE14,172.0
Jalen Reagor,WR62,173.0
Amon-Ra St. Brown,WR75,175.0
Rashaad Penny,RB52,176.0
T.Y. Hilton,WR71,177.0
Jameis Winston,QB25,178.0
Randall Cobb,WR78,180.0
Zach Ertz,TE22,184.0
Devontae Booker,RB69,185.0
A.J. Green,WR74,186.0
Bryan Edwards,WR66,187.0
Giovani Bernard,RB49,188.0
James White,RB45,189.0
Tua Tagovailoa,QB17,190.0
Austin Hooper,TE21,191.0
Zach Wilson,QB27,192.0
Tre'Quan Smith,WR64,193.0
Rashod Bateman,WR65,194.0
Gerald Everett,TE17,195.0
Gabriel Davis,WR63,196.0
Ryan Fitzpatrick,QB19,197.0
Sterling Shepard,WR61,198.0
Cole Kmet,TE18,200.0
Adam Trautman,TE24,201.0
Marlon Mack,RB61,202.0
Boston Scott,RB64,208.0
Mark Ingram,RB66,209.0
Marquez Valdes-Scantling,WR79,210.0
Damien Williams,RB60,211.0
Tyrell Williams,WR77,212.0
Malcolm Brown,RB54,213.0
Ben Roethlisberger,QB20,214.0
Emmanuel Sanders,WR68,215.0
Parris Campbell,WR70,216.0
Christian Kirk,WR72,217.0
Darrel Williams,RB53,218.0
Jamison Crowder,WR69,219.0
Derek Carr,QB22,220.0
Sammy Watkins,WR81,221.0
Blake Jarwin,TE20,222.0
Anthony Firkser,TE23,223.0
Daniel Jones,QB24,225.0
Carson Wentz,QB26,226.0
Carlos Hyde,RB55,233.0
Salvon Ahmed,RB58,239.0
Allen Lazard,WR80,240.0
Darrynton Evans,RB62,241.0
Sam Darnold,QB28,243.0
Eric Ebron,TE25,244.0
KJ Hamler,WR82,246.0
Tarik Cohen,RB59,247.0
O.J. Howard,TE28,249.0
Van Jefferson,WR84,250.0
John Brown,WR83,252.0
Darius Slayton,WR76,254.0
